,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper,G
33,-4.68,0.00012747,0.00010198,-0.011719,0.0022332,0.0022332,3,-16.054000000000002,-0.008794100000000001,0.0056688,-0.015806,0.0017357,0.0017357,-0.012154,6.1274e-05,6.1274e-05,-0.011719,0.0022332,0.0022332,-0.011637,0.0015142999999999999,0.0015142999999999999,0.4999946581767289,-17.356905384763,-16.188265384763,-16.049065384762997,-16.022825384763,0.6654935999999999,0.6654935999999999,0.4659922355249999
34,-4.8218,0.00012928,7.1486e-05,-0.005761,0.0027994,0.0027994,3,-14.319,0.00098457,0.014622,-0.0097801,0.0019547,0.0019547,-0.0083786,0.0016365,0.0016365,-0.005761,0.0027994,0.0027994,-0.0010344000000000002,0.0014709000000000002,0.0014709000000000002,0.5151440689736221,-15.603255837312002,-15.154775837312002,-14.317143837312,-12.804631837312002,0.8342212,0.8342212,0.4841958105249999
35,-4.9637,0.00014047,5.1186999999999996e-05,-0.0017961,0.0017375,0.0017375,3,-14.128,0.004451300000000001,0.023005,-0.00086238,0.0014335,0.0014335,-0.0048048000000000006,0.0007440000000000001,0.0007440000000000001,-0.0017961,0.0017375,0.0017375,0.009628399999999999,0.0017081,0.0017081,0.5303041634170576,-13.829256312462999,-15.090830712463,-14.128046712462998,-10.472206712462999,0.517775,0.517775,0.503334573025
36,-5.1055,0.00014763,4.7428999999999996e-05,7.516100000000001e-05,0.0019387,0.0019387,3,-14.22,0.0071518,0.026892000000000003,0.0013064,0.002002,0.002002,-0.0032025999999999995,0.00088439,0.00088439,7.516100000000001e-05,0.0019387,0.0019387,0.013365,0.0023344999999999998,0.0023344999999999998,0.5454535742139508,-13.826081696026998,-15.268961696026999,-14.220078176026998,-9.967329696026999,0.5777326,0.5777326,0.5237608630249999
37,-5.2473,0.00015352,4.5724e-05,0.00054528,0.0017714000000000002,0.0017714000000000002,3,-14.638,0.0082931,0.02992,0.0021920000000000004,0.0026232,0.0026232,-0.0027335000000000003,0.00093593,0.00093593,0.00054528,0.0017714000000000002,0.0017714000000000002,0.015537,0.0029436999999999996,0.0029436999999999996,0.5606029850108439,-14.110988306808,-15.687148306808,-14.637938706808,-9.840588306808,0.5278772,0.5278772,0.5451123980249999
38,-5.3891,0.00015997,4.579600000000001e-05,0.0023555,0.0018097,0.0018097,3,-14.68,0.010478,0.032367,0.0042127,0.0028811,0.0028811,-0.001057,0.00083462,0.00083462,0.0023555,0.0018097,0.0018097,0.018633,0.0033383,0.0033383,0.5757523958077372,-14.086694704012999,-15.772998704013,-14.680998704013,-9.472198704013,0.5392906,0.5392906,0.5673388390249999
39,-5.5309,0.00016522,4.6537e-05,0.0038538000000000005,0.0019105999999999997,0.0019105999999999997,3,-14.707,0.012665000000000001,0.033995,0.0058575,0.0029921,0.0029921,0.00035431,0.00078794,0.00078794,0.0038538000000000005,0.0019105999999999997,0.0019105999999999997,0.020953,0.0034354999999999998,0.0034354999999999998,0.5909018066046303,-14.066906701737999,-15.827927501737998,-14.708090701737998,-9.236346701737999,0.5693587999999999,0.5693587999999999,0.5903948100249999
40,-5.6728,0.00017022,4.3743000000000005e-05,0.0044976999999999994,0.0018076000000000001,0.0018076000000000001,3,-14.982000000000001,0.014355000000000001,0.038100999999999996,0.006950700000000001,0.003396,0.003396,0.00085512,0.00069542,0.00069542,0.0044976999999999994,0.0018076000000000001,0.0018076000000000001,0.023844,0.0039244,0.0039244,0.6060619010480658,-14.199509366238,-16.150094966238,-14.984469366238,-8.793653366238,0.5386648,0.5386648,0.6141942780249999
41,-5.8146,0.00017741,3.6378e-05,0.0049239,0.0019456,0.0019456,3,-15.54,0.017293,0.047529,0.0083726,0.0041008,0.0041008,0.00074812,0.00060451,0.00060451,0.0049239,0.0019456,0.0019456,0.029580000000000002,0.0046989,0.0046989,0.621211311844959,-14.438230909788999,-16.878064509789,-15.541814909788997,-7.651862909788997,0.5797888,0.5797888,0.6388412450250001
42,-5.9564,0.00018707,3.7307e-05,0.0068815,0.0016305999999999998,0.0016305999999999998,3,-15.844000000000001,0.021847,0.053570000000000007,0.011206,0.0042868,0.0042868,0.0024239,0.00081797,0.00081797,0.0068815,0.0016305999999999998,0.0016305999999999998,0.035245,0.0048396,0.0048396,0.6363607226418522,-14.463591225602999,-17.273863225602998,-15.847431225602998,-6.771111225602999,0.48591879999999993,0.48591879999999993,0.6646828770250001
