,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper
15,0.42921,0.00012721,0.00018504,-0.0089778,0.0019417,0.0019417,3,-14.965,-0.01825,0.016607,-0.0087103,0.0016659,0.0016659,-0.0068938,0.0038018,0.0038018,-0.0089778,0.0019417,0.0019417,-0.0078006,0.0025556,0.0025556,0.24589515898023487,-14.869568598209,-14.328251598209,-14.949283598209,-14.598477998208999,0.5786266,0.5786266
16,0.45782,0.00012682,0.00013077,-0.010632,0.0022669,0.0014837,1,-15.423,-0.024138,0.020651,-0.010632,0.00047094,0.00047094,-0.0090815,0.0038305,0.0038305,-0.012654,0.00023956,0.00023956,-0.01024,0.0018753,0.0018753,0.2622858779719278,-15.404605918378,-14.942556918378,-16.007161918378,-15.287789918378,0.07138888,0.07138888
17,0.48644,0.00012619,0.00013007,-0.01062,0.0016081,0.0016209,1,-15.358,-0.024235,0.019722,-0.01062,0.00015989,0.00015989,-0.0095516,0.0036646,0.0036646,-0.013174,0.00095073,0.00095073,-0.010626,0.0016145,0.0016145,0.2786823259810942,-15.340244158651,-15.021860958651,-16.101336158651,-15.342032158651001,0.28331754,0.28331754
18,0.51505,0.00012562,0.00012939,-0.010547,0.00441,0.0030657,1,-15.281,-0.024025,0.018736,-0.010547,0.00021228,0.00021228,-0.0098747,0.0037378,0.0037378,-0.013309,0.000914,0.000914,-0.010851,0.0016617,0.0016617,0.29507304497278714,-15.263493518897999,-15.063148118897999,-16.086569518898,-15.354085518898,0.272372,0.272372
19,0.54367,0.00012513,0.00022555,-0.013626,0.0014105,0.0014105,3,-16.156,-0.023785,0.018223,-0.010549,9.9341e-05,9.9341e-05,-0.010189,0.00349,0.00349,-0.013626,0.0014105,0.0014105,-0.011119,0.0013708,0.0013708,0.3114694929819536,-15.216811705776998,-15.109531705776998,-16.133757705776997,-15.386671705776997,0.420329,0.420329
20,0.57228,0.00012469,0.00022384,-0.013977,0.0015472,0.0015472,3,-16.218,-0.024013,0.017434,-0.0107,9.7383e-05,9.7383e-05,-0.010632,0.0035002,0.0035002,-0.013977,0.0015472,0.0015472,-0.011496,0.0013667,0.0013667,0.3278602119736465,-15.219356159300998,-15.199092159301,-16.195902159301,-15.456564159301,0.4610656,0.4610656
21,0.6009,0.00012427,0.00021818,-0.01413,0.0012457,0.0012457,3,-16.223,-0.023837,0.016908,-0.01068,0.00010029,0.00010029,-0.010899,0.0037265,0.0037265,-0.01413,0.0012457,0.0012457,-0.0117,0.0015679,0.0015679,0.3442566599828129,-15.172872319482998,-15.238134319482999,-16.200972319483,-15.476832319482998,0.3712186,0.3712186
22,0.62951,0.00012384,0.00021448,-0.014398,0.001484,0.001484,3,-16.262,-0.023718,0.016413,-0.01076,0.00011924,0.00011924,-0.011295,0.0035308,0.0035308,-0.014398,0.001484,0.001484,-0.012016,0.0013434,0.0013434,0.3606473789745059,-15.155223626336,-15.314653626336,-16.239347626336,-15.529511626336001,0.442232,0.442232
23,0.65812,0.00012339,0.00021214,-0.014985,0.0016119,0.0016119,3,-16.396,-0.023655,0.016282,-0.011103,0.00014578,0.00014578,-0.011948,0.0035717,0.0035717,-0.014985,0.0016119,0.0016119,-0.012603,0.00133,0.00133,0.3770380979661988,-15.214019226531,-15.465829226531,-16.370855226531,-15.661019226531,0.4803462,0.4803462
24,0.68674,0.00012292,0.00020932,-0.015032,0.0017739,0.0017739,3,-16.367,-0.02367,0.015666,-0.011025,0.00022181,0.00022181,-0.012234,0.0034448,0.0034448,-0.015032,0.0017739,0.0017739,-0.012764,0.0012001,0.0012001,0.3934345459753652,-15.145427120068,-15.505709120068,-16.339513120068,-15.663649120067998,0.5286221999999999,0.5286221999999999
25,0.71535,0.00012241,0.0002059,-0.014605,0.0016153,0.0016153,3,-16.19,-0.024027,0.014392,-0.010475,0.00024096,0.00024096,-0.011885,0.0033714,0.0033714,-0.014605,0.0016153,0.0016153,-0.012366,0.0011766,0.0011766,0.4098252649670582,-14.932319600288999,-15.352499600288997,-16.163059600288996,-15.495837600288997,0.4813594,0.4813594
26,0.74397,0.00012182,0.00020167,-0.015082,0.0016567,0.0016567,3,-16.275,-0.023226,0.014671,-0.010586,0.00016346,0.00016346,-0.012521,0.0035317,0.0035317,-0.015082,0.0016567,0.0016567,-0.012864,0.0012491,0.0012491,0.4262217129762246,-14.908471253877998,-15.485101253878,-16.248279253878,-15.587315253878,0.49369660000000004,0.49369660000000004
27,0.77258,0.00012112,0.00020066,-0.015159,0.0019752,0.0019752,3,-16.232,-0.024185,0.014037,-0.010531,0.00033786,0.00033786,-0.012809,0.0033018,0.0033018,-0.015159,0.0019752,0.0019752,-0.013028,0.0010111,0.0010111,0.4426124319679175,-14.824541520848001,-15.503385520848,-16.203685520848,-15.568647520848,0.5886096,0.5886096
28,0.80119,0.00012023,0.00019635,-0.015509,0.0017234,0.0017234,3,-16.248,-0.023238,0.01419,-0.010418,0.00035274,0.00035274,-0.013084,0.0034591,0.0034591,-0.015509,0.0017234,0.0017234,-0.01325,0.0011043,0.0011043,0.45900315095961036,-14.704995574567,-15.499463574567,-16.222113574567,-15.548931574567,0.5135732,0.5135732
29,0.82981,0.00011901,0.00020031,-0.015064,0.0019649,0.0019649,3,-16.001,-0.024199,0.01455,-0.0098154,0.00042872,0.00042872,-0.012716,0.0034397,0.0034397,-0.015064,0.0019649,0.0019649,-0.012807,0.00099478,0.00099478,0.47539959896877687,-14.407708668429,-15.272087468429,-15.971791468429,-15.299205468429001,0.5855402,0.5855402
30,0.85842,0.00011706,0.00021546,-0.014532,0.0018451,0.0018451,3,-15.652,-0.025508,0.017662,-0.0087624,0.00042338,0.00042338,-0.011551,0.0041468,0.0041468,-0.014532,0.0018451,0.0018451,-0.011839,0.0012995,0.0012995,0.49179031796046974,-13.905768269273999,-14.736771069273999,-15.625109069273996,-14.822595069273998,0.5498398,0.5498398
31,0.88704,0.00011137,0.00022387,-0.0095323,0.0013866,0.0013866,3,-13.604,-0.023875,0.022968,-0.0030235,0.0011974,0.0011974,-0.0058754,0.0045858,0.0045858,-0.0095323,0.0013866,0.0013866,-0.0064039,0.0010261,0.0010261,0.5081867659696362,-11.646574525072998,-12.496440725072999,-13.586196925072999,-12.653933725073,0.4132068,0.4132068
32,0.91565,8.7651e-05,0.00013248,0.003985,0.00037176,0.00037176,3,-7.2625,-0.00010991,0.0090323,0.006064,0.00061902,0.00061902,0.0054872,0.0025254,0.0025254,0.003985,0.00037176,0.00037176,0.0051844,0.001368,0.001368,0.524577484961329,-6.649963914017901,-6.821850314017901,-7.269505914017901,-6.912084714017901,0.11078448,0.11078448
33,0.94427,8.7724e-05,0.00016147,-0.00045714,0.00047012,0.00047012,3,-8.6012,-0.0073434,0.013916,0.0015831,0.00043188,0.00043188,0.0020268,0.0029442,0.0029442,-0.00045714,0.00047012,0.00047012,0.0013333,0.0014662,0.0014662,0.5409739329704956,-7.9923155433196005,-7.8600929433196,-8.600307063319601,-8.0667559433196,0.14009575999999999,0.14009575999999999
34,0.97288,8.8059e-05,0.00015691,-0.0010195,0.00068102,0.00068102,3,-8.802,-0.0080946,0.013415,0.001097,9.34e-05,9.34e-05,0.0013661,0.0026228,0.0026228,-0.0010195,0.00068102,0.00068102,0.00071041,0.0011297,0.0011297,0.5573646519621884,-8.169495929841101,-8.0893041298411,-8.8002129298411,-8.284699749841101,0.20294395999999998,0.20294395999999998
35,1.0015,8.8235e-05,0.0001582,-0.0015681,0.00059355,0.00059355,3,-8.9833,-0.0084548,0.013148,0.0006931,0.000322,0.000322,0.00080256,0.0028976,0.0028976,-0.0015681,0.00059355,0.00059355,0.00018055,0.0013687,0.0013687,0.5737610999713549,-8.3068395484315,-8.2742204684315,-8.9806771484315,-8.4595794484315,0.1768779,0.1768779
36,1.0301,8.8351e-05,0.00015904,-0.0017645,0.00073407,0.00073407,3,-9.0533,-0.0086191,0.013383,0.0006436,0.00025846,0.00025846,0.00062929,0.002926,0.002926,-0.0017645,0.00073407,0.00073407,2.1301e-05,0.0013351,0.0013351,0.5901460899455743,-8.332782847047898,-8.337047227047899,-9.050396647047899,-8.518227949047898,0.21875286,0.21875286
37,1.0587,8.8422e-05,0.0001605,-0.0021408,0.0010454,0.0010454,3,-9.1731,-0.0089507,0.013245,0.00033957,3.55e-05,3.55e-05,0.0002529,0.0026407,0.0026407,-0.0021408,0.0010454,0.0010454,-0.00034565,0.0010456,0.0010456,0.6065310799197937,-8.430234245683799,-8.4560619056838,-9.1693845056838,-8.6344298056838,0.3115292,0.3115292
38,1.0873,8.8461e-05,0.00016186,-0.0025685,0.0010844,0.0010844,3,-9.3051,-0.0093691,0.013518,9.7797e-05,1.9825e-05,1.9825e-05,-0.00013917,0.0028162,0.0028162,-0.0025685,0.0010844,0.0010844,-0.00072279,0.0011404,0.0011404,0.6229160698940132,-8.506045527666899,-8.5766616936669,-9.3006020336669,-8.750580453666899,0.32315119999999997,0.32315119999999997
39,1.116,8.8472e-05,0.00016282,-0.002763,0.0009896,0.0009896,3,-9.3648,-0.0098326,0.013462,-5.4434e-06,0.00011356,0.00011356,-0.00032131,0.0029759,0.0029759,-0.002763,0.0009896,0.0009896,-0.00089634,0.0012558,0.0012558,0.6393583500429677,-8.5378725055288,-8.6320007523288,-9.359624372328799,-8.8033596923288,0.2949008,0.2949008
40,1.1446,8.85e-05,0.00016487,-0.0029266,0.0011272,0.0011272,3,-9.4169,-0.010639,0.013751,-6.4734e-05,3.9125e-05,3.9125e-05,-0.00042552,0.0028856,0.0028856,-0.0029266,0.0011272,0.0011272,-0.0010119,0.0011331,0.0011331,0.655743340017187,-8.55824269365,-8.665756921649999,-9.41107876165,-8.84049816165,0.3359056,0.3359056
