,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
0,-0.0,0.0024809,0.0021943,0.077724,0.051655,0.051655,2,-216.19,0.068715,0.10164,0.094932,0.046286,0.046286,0.077724,0.051655,0.051655,0.077722,0.041565,0.041565,0.12361,0.043985,0.043985,-0.0,-211.08072639160997
1,0.051073,0.00054562,0.0005862,0.17346,0.023566,0.023566,4,-0.91821,-0.15483,0.7199,0.092664,0.0091496,0.0091496,0.20816,0.055789,0.055789,0.090134,0.041431,0.041431,0.17346,0.023566,0.023566,0.02325622694777105,-25.030455336898
2,0.10215,0.00032424,0.00036898,0.1355,0.0040855,0.0040855,4,9.1154,-0.096318,0.54896,0.056267,0.016348,0.016348,0.15285,0.015046,0.015046,0.082854,0.03018,0.03018,0.1355,0.0040855,0.0040855,0.04651427530622467,-14.516838339496001
3,0.15322,0.00023289,0.035865,0.079564,0.023155,0.013403,3,1.2575,0.037553,0.24039,0.059208,0.049557,0.049557,0.085318,0.017107,0.017107,0.079564,0.013403,0.013403,0.085437,0.017282,0.017282,0.0697691361959838,-4.826485179081001
4,0.20429,0.00021571,0.00047975,0.0011816,0.0010032,0.0010032,3,-20.461,-0.023229,0.052766,-0.00030253,0.00064901,0.00064901,0.0077398,0.0037832,0.0037832,0.0011816,0.0010032,0.0010032,0.0049445,0.00093446,0.00093446,0.09302399708574291,-20.903005099859
5,0.25536,0.00021256,0.0010303,0.0038789,0.0050376,0.0050376,3,-19.352,-0.024309,0.078905,0.005608,0.0014806,0.0014806,0.017207,0.0080662,0.0080662,0.0038789,0.0050376,0.0050376,0.013319,0.0039434,0.0039434,0.11627885797550201,-18.837738361223998
6,0.30644,0.00019496,0.0036251,0.0089011,0.0088702,0.0088702,3,-16.157,-0.025598,0.12391,0.0041284,0.0067942,0.0067942,0.025522,0.0037198,0.0037198,0.0089011,0.0088702,0.0088702,0.022369,0.0020833,0.0020833,0.1395382723919676,-17.580517302184
7,0.35751,0.00017419,0.00017884,0.025578,0.0027272,0.0027272,2,-9.1829,-0.035488,0.14201,0.0013656,0.0076403,0.0076403,0.025578,0.0027272,0.0027272,0.0087626,0.0096537,0.0096537,0.02263,0.0012742,0.0012742,0.1627931332817267,-16.399831337851
8,0.40858,0.00015909,0.00016152,0.017744,0.0020185,0.0020185,2,-10.062,-0.036672,0.12138,-0.0040182,0.0038058,0.0038058,0.017744,0.0020185,0.0020185,0.0097099,0.0066771,0.0066771,0.013697,0.0050822,0.0050822,0.18604799417148582,-16.547275211061
9,0.45966,0.00015502,0.00016589,0.030872,0.0058003,0.0058003,2,-5.7531,-0.05702,0.22627,-0.0070335,0.0077707,0.0077707,0.030872,0.0058003,0.0058003,0.011013,0.016657,0.016657,0.027568,0.0071435,0.0071435,0.20930740858795138,-17.053139306158
