,OCV,Cap (mAh/g),deltaH (kJ/mol),deltaS (J/mol/K)
0,2.4219,-0.0,-43088.94775050996,639.5600000000001
1,0.75924,12.335644371941289,-49833.320150996,78.598
2,0.42593,24.671696574225155,-20892.491842097003,67.797
3,0.41772,37.00652528548129,-5789.493258987995,115.82000000000001
4,0.40776,49.341353996737425,-15814.865343304,78.95299999999999
5,0.38499,61.67618270799356,-20633.708313171,55.410000000000004
6,0.35332,74.01305057096258,-52807.87582022801,-62.81100000000001
7,0.32045,86.34787928221871,-122008.384927805,-305.67
8,0.29086,98.68270799347485,-54049.621927294,-87.20100000000001
9,0.26316,111.01753670473097,45053.139794036,236.39
10,0.23692,123.3544045677,30524.414929331997,179.14
11,0.22589,135.68923327895615,14751.648151219,122.64
12,0.22249999999999998,148.0240619902123,-3760.826570249996,59.42
13,0.22093,160.3588907014684,-19447.448597596995,6.272
14,0.22003,172.69575856443743,-26891.965797987,-19.001
15,0.21939,185.03058727569356,-30874.373184931,-32.571999999999996
16,0.21889,197.3654159869497,-32791.738518481,-39.168
17,0.21848,209.7063621533445,-32564.141531992,-38.537
18,0.21808,222.04323001631352,-30255.383398832,-30.918999999999997
19,0.21767,234.38009787928252,-26763.196412343,-19.333
20,0.21718,246.71696574225155,-23329.774399222,-7.9701
21,0.21663,259.0334420880917,-20177.030666127,2.4315
22,0.21599,271.37030995106073,-17616.103053071,10.818
23,0.21524000000000001,283.70717781402976,-15588.263053395998,17.38
24,0.21455000000000002,296.04404567699873,-14224.196173695002,21.733999999999998
25,0.21375,308.38091353996776,-13022.057907374996,25.509
26,0.21292,320.7177814029368,-12043.207081068,28.525
27,0.21208,333.0546492659058,-11314.605401431998,30.698
28,0.21122,345.39151712887485,-10842.440015138001,32.004
29,0.21038,357.7283849918439,-10334.060335502,33.438
30,0.20954,370.0652528548129,-10102.224655865997,33.944
31,0.20875000000000002,382.4021207177819,-9793.859242875002,34.723
32,0.20791,394.7389885807509,-9984.587563239,33.811
33,0.20702,407.07585644371994,-9899.907616958002,33.806999999999995
34,0.20612000000000003,419.412724306689,-9876.842817347999,33.592999999999996
35,0.20528000000000002,431.74959216965806,-9931.981137711999,33.135999999999996
36,0.20450000000000002,444.06606851549816,-10103.764578049997,32.307
37,0.2037,456.4029363784672,-10219.978311729998,31.657999999999998
38,0.20292,468.7398042414362,-10608.109752067998,30.103
39,0.20212,481.0766721044052,-10897.461485747997,28.873
40,0.20133,493.4135399673743,-11186.884072757,27.646
41,0.20053,505.75040783034325,-11518.551806436999,26.273999999999997
42,0.19975,518.0872756933123,-11921.881246774998,24.668
43,0.19902,530.4241435562813,-12179.544953758,23.567
44,0.19832000000000002,542.7610114192504,-12893.659220728001,20.944
45,0.19755,555.0978792822193,-13379.605514395,19.064
46,0.19676000000000002,567.4347471451885,-13948.552101404,16.899
47,0.19596,579.7716150081574,-14530.837835083996,14.686
48,0.19507,592.1084828711264,-15094.307888802998,12.507000000000001
49,0.19424000000000002,604.4453507340954,-15699.923062496,10.206
50,0.19342,616.7822185970645,-16159.559289518,8.398100000000001
51,0.19262,629.1190864600335,-16545.314023198,6.8446
52,0.19185,641.4355628058736,-16734.631116865,5.96
53,0.19112,653.7724306688426,-16886.445223848,5.214200000000001
54,0.19032000000000002,666.1092985318116,-16844.450757527997,5.0961
55,0.1895,678.4461663947807,-16606.34978455,5.6296
56,0.18866,690.7830342577497,-16313.155904913998,6.3415
57,0.18781,703.1199021207187,-15801.874371948998,7.782
58,0.18689999999999998,715.4567699836878,-15365.204119009999,8.952699999999998
59,0.186,727.7936378466568,-14622.975919399998,11.152000000000001
60,0.18508000000000002,740.1305057096258,-13974.267413131998,13.030999999999999
61,0.18412,752.4673735725949,-13218.889493547998,15.254999999999999
62,0.18308,764.8042414355638,-12458.176747332,17.471
63,0.18202,777.1411092985329,-11464.584294458,20.462
64,0.18098,789.4779771615018,-10605.233548241999,23.009
65,0.17994,801.814845024471,-9853.758802025997,25.194000000000003
66,0.17889,814.1517128874399,-9065.559202480998,27.499
67,0.17789999999999997,826.4885807504089,-8557.308722909998,28.884
68,0.17684,838.8050570962491,-8254.182270035997,29.558
69,0.17575,851.1419249592182,-7977.067257174997,30.134999999999998
70,0.17467000000000002,863.4787928221871,-7939.913097643001,29.91
71,0.17352,875.8156606851561,-8172.846964807999,28.756
72,0.1724,888.1525285481252,-8477.51339196,27.371
73,0.17123,900.4893964110943,-8996.385552466996,25.250999999999998
74,0.17008,912.8262642740632,-9531.789419631998,23.081999999999997
75,0.16895,925.1631321370322,-10419.868993454998,19.736
76,0.16782,937.5000000000013,-10760.224567277997,18.228
77,0.16663,949.8368678629704,-11536.129021126995,15.239
78,0.16541,962.1737357259392,-12129.146914989,12.854000000000001
79,0.16416,974.5106035889083,-12756.818248864,10.343
80,0.16286,986.8474714518774,-13247.293716093998,8.2762
81,0.16152000000000002,999.1843393148464,-13550.192770008,6.8259
82,0.16013,1011.5212071778153,-13544.337357277,6.3955
83,0.15861,1023.8580750407843,-13360.191251269,6.5213
84,0.15695,1036.1949429037534,-13179.314598654997,6.5908
85,0.1552,1048.5318107667226,-12977.17866608,6.702500000000001
86,0.15338,1060.8482871125625,-12803.810360201998,6.695
87,0.15164,1073.1851549755315,-13001.422880955999,5.468500000000001
88,0.14974,1085.5220228385008,-12906.249148446,5.1727
89,0.14802,1097.8588907014696,-12156.810375858,7.1307
90,0.14624,1110.1957585644386,-9488.631083295999,15.508
91,0.14412999999999998,1122.5326264274076,-6540.765030876998,24.717
92,0.14143,1134.869494290377,-5877.060632047,26.07
93,0.13875,1147.2063621533457,-6912.0979398750005,21.729
94,0.13661,1159.5432300163147,-8490.043327469,15.741000000000001
95,0.13511,1171.8800978792838,-9607.941328119,11.504
96,0.13412,1184.2169657422528,-10349.592248547999,8.6947
97,0.1334,1196.5538336052218,-10777.931808859998,7.0242
98,0.13286,1208.8907014681909,-10929.006129094,6.3424
99,0.1324,1221.2275693311599,-10888.794875959999,6.328399999999999
100,0.132,1233.564437194129,-10741.579742799999,6.6929
101,0.13164,1245.901305057098,-10618.041022956,6.990900000000001
102,0.13126,1258.217781402938,-10458.987996454,7.4016
103,0.13086,1270.554649265907,-10291.628063293998,7.8337
104,0.13041,1282.891517128876,-10118.102863488999,8.270299999999999
105,0.12993,1295.2283849918451,-10123.105503696997,8.0981
106,0.12934,1307.5652528548142,-9898.792557286,8.6598
107,0.12867,1319.9021207177832,-9744.657984242998,8.9601
108,0.12792,1332.2389885807522,-9498.649384568002,9.5428
109,0.12706,1344.5758564437212,-9016.292398274,10.883000000000001
110,0.12611,1356.9127243066903,-8525.311332018997,12.222999999999999
111,0.12507,1369.2495921696593,-8081.968585802999,13.374
112,0.1239,1381.586460032628,-7802.49874631,13.933
113,0.12256999999999998,1393.9233278955974,-8450.165253552997,11.329
114,0.12118,1406.2601957585664,-10572.417240821998,3.7573
115,0.11966,1418.5970636215354,-13733.350934813998,-7.342
116,0.118,1430.9339314845042,-16991.5432822,-18.813
117,0.11618,1443.2707993474733,-19182.059976322,-26.753
118,0.11413000000000001,1455.6076672104425,-19487.289043876997,-28.441000000000003
119,0.11179,1467.9241435562824,-16974.065364890997,-20.764999999999997
120,0.10896,1480.2610114192516,-11198.680272783999,-2.3008
121,0.1056,1492.5978792822207,-5893.18115424,14.415000000000001
122,0.10181,1504.9347471451897,-3957.339742549,19.684
123,0.098462,1517.2716150081585,-3859.8928479997985,18.927
124,0.095977,1529.6084828711275,-4332.3467957433,16.537
125,0.094342,1541.9453507340968,-4924.0632764517995,14.022
126,0.093248,1554.2822185970658,-5073.0003222591995,13.168
127,0.092529,1566.6190864600346,-4879.9573679041,13.583
128,0.092041,1578.9559543230037,-4440.406525448899,14.9
129,0.09168,1591.2928221859727,-3961.555320272,16.389999999999997
130,0.091346,1603.629690048942,-3504.9772190834005,17.814
131,0.09094600000000001,1615.9665579119107,-3220.2350859234007,18.64
132,0.09042,1628.3034257748798,-3334.277800818,18.087
133,0.089768,1640.6402936378488,-3577.117363767199,17.061
134,0.089031,1652.9771615008178,-4042.4076734198993,15.261000000000001
135,0.088197,1665.314029363787,-4226.5629057813,14.373000000000001
136,0.087296,1677.630505709627,-4432.563620838399,13.39
137,0.086273,1689.967373572596,-4370.811125281702,13.266
138,0.08509800000000001,1702.3042414355652,-4324.788859124199,13.04
139,0.083801,1714.641109298534,-4208.2893823529,13.011
140,0.08229900000000001,1726.9779771615028,-4060.9844123371,13.019
141,0.080572,1739.314845024472,-3912.830242418799,12.956999999999999
142,0.07862999999999999,1751.6517128874411,-3754.6597259269997,12.859
143,0.076506,1763.9885807504104,-3462.1128788473998,13.153
144,0.074124,1776.3254486133792,-3588.0968158795995,11.959
145,0.071577,1788.6623164763482,-2843.4966729832995,13.633
146,0.069057,1800.9991843393173,-2823.555634075299,12.884
147,0.06633499999999999,1813.3360522022863,-2636.3165579214997,12.631
148,0.06352899999999999,1825.672920065255,-2455.2767138040986,12.33
149,0.060677,1838.0097879282243,-2299.3005443733,11.93
150,0.057868,1850.3466557911934,-2109.0312442572,11.658999999999999
