,SOC,U[V],dE/dx,dx/dE,dqdv
13741,63.46454028433158,0.005276591789571804,0.00018851147644560125,5304.716820721364,5304.716820721364
13742,63.46911196692108,0.005274194257927176,9.307879061414486e-05,10743.58608875214,10743.58608875214
13745,63.482710725134396,0.0052779211221625245,0.00014504213787336744,6894.548126924841,6894.548126924841
13746,63.48720707500586,0.005276391098870103,0.00012283557921544824,8140.963769512119,8140.963769512119
13747,63.49168593081621,0.005276787767781268,0.00016488369803377152,6064.880955030374,6064.880955030374
13748,63.496147335803464,0.005274869783443759,0.00022299826204118277,4484.339881605546,4484.339881605546
13749,63.50059192817672,0.005274730252695564,4.441311731555636e-05,22515.870545518654,22515.870545518654
13750,63.50502035711756,0.005274460001510737,0.00048141598514097207,2077.205640995016,2077.205640995016
13751,63.50943276280703,0.005270288421432576,0.0005735398937323429,1743.557877887873,1743.557877887873
13752,63.51382891576742,0.005269168180073181,0.0002853542787514226,3504.415649120575,3504.415649120575
13753,63.51820912970561,0.005267655572512916,0.00030851571943164586,3241.325926089669,3241.325926089669
13754,63.52257423987141,0.005266321629875448,0.00022347570305233483,4474.759387000628,4474.759387000628
13755,63.52692450765627,0.005265593652271432,0.00016961369502795567,5895.750339235168,5895.750339235168
13756,63.53125941945612,0.005264756672673236,0.00020031426237182955,4992.155766441478,4992.155766441478
13757,63.53557951804832,0.005263745433308023,9.353402506648781e-05,10691.29655533544,10691.29655533544
13759,63.54417730604932,0.005263946021564237,0.00028629805749465117,3492.8633772469193,3492.8633772469193
13760,63.54845588715785,0.005261252115136552,6.945101220231512e-05,14398.6382385175,14398.6382385175
13762,63.5569724446734,0.005263597297139236,4.4879455046598806e-05,22281.910485804463,22281.910485804463
13764,63.5654363701077,0.005263819603837904,8.977001337387124e-05,11139.577264350317,11139.577264350317
13765,63.56964923341542,0.00526206286869104,0.0002900842757459828,3447.2740634713577,3447.2740634713577
13768,63.5822137612298,0.00526429034083346,8.977001337434127e-05,11139.577264291991,11139.577264291991
13771,63.59466694699782,0.005265493563034292,5.290712600245111e-05,18901.04557850433,18901.04557850433
13786,63.65539639405833,0.005273470685478941,7.18160106991722e-05,13924.471580423315,13924.471580423315
