,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper
0,-0.0,0.0010005,0.0010093,-0.001587,0.00010401,0.00010401,2,-97.007,-0.0018564,0.0019581,-0.0020016,9.4005e-05,9.4005e-05,-0.001587,0.00010401,0.00010401,-0.0015869,5.4787e-05,5.4787e-05,-0.0015872,4.5946e-05,4.5946e-05,-0.0,-97.13005236645,-97.00650156645,-97.00647176644999,-97.00656116645,0.016326526,0.016326526
1,0.05904,0.00035613,0.00058178,0.037043,0.0022757,0.0022757,3,-23.229,0.026574,0.030259,0.038992,2.6968e-05,2.6968e-05,0.04277,0.0036192,0.0036192,0.037043,0.0022757,0.0022757,0.04103,0.0014873,0.0014873,0.03225876953338433,-22.741705605676998,-21.615861605676997,-23.322507605676996,-22.134381605677,0.6781586,0.6781586
2,0.11808,0.00021368,0.0003008,0.014715,0.001031,0.0005824,3,-16.195,0.01066,0.012627,0.015232,0.00051346,0.00051346,0.017,0.00168,0.00168,0.014715,0.0005824,0.0005824,0.016327,0.00096079,0.00096079,0.06451753906676866,-16.077849934072,-15.550985934071997,-16.231915934072,-15.751539934071998,0.1735552,0.1735552
3,0.17712,0.00020991,0.00027688,0.0052658,0.00069841,0.00069841,3,-18.671,0.0028515,0.0090869,0.0060618,0.00067935,0.00067935,0.0070144,0.0018226,0.0018226,0.0052658,0.00069841,0.00069841,0.0064971,0.0011587,0.0011587,0.09677630860015299,-18.446819829039,-18.162945029039,-18.684027829039,-18.317100429039,0.20812618,0.20812618
4,0.23616,0.00019837,0.0002596,0.004462,0.00078169,0.00078169,3,-17.799,0.0018732,0.0084482,0.0054357,0.00035442,0.00035442,0.0060996,0.0016286,0.0016286,0.004462,0.00078169,0.00078169,0.0056282,0.00089033,0.00089033,0.12903507813353732,-17.519956887373,-17.322114687373,-17.810119487373,-17.462591887373,0.23294362000000002,0.23294362000000002
5,0.2952,0.00017321,0.00023098,0.0013671,0.00093513,0.00093513,3,-16.301,-0.00083321,0.0079167,0.0022218,0.00016073,0.00016073,0.0029436,0.0012841,0.0012841,0.0013671,0.00093513,0.00093513,0.0024863,0.00063394,0.00063394,0.16129384766692165,-16.050128111609,-15.835031711608998,-16.304828711608998,-15.971307111608997,0.27866874,0.27866874
6,0.35423,0.00014965,0.00020432,-0.0016136,0.00065324,0.00065324,3,-14.924,-0.0038563,0.0073158,-0.00086519,0.00034405,0.00034405,-0.00017117,0.0013522,0.0013522,-0.0016136,0.00065324,0.00065324,-0.00058884,0.00076776,0.00076776,0.1935471533165774,-14.696856688485,-14.490038728485,-14.919882868484999,-14.614504388484999,0.19466552,0.19466552
7,0.41327,0.00013286,0.00019076,-0.0017187,0.0014333,0.0014333,3,-13.335,-0.0047735,0.0079876,0.00082292,0.00042968,0.00042968,-0.00040271,0.0015802,0.0015802,-0.0017187,0.0014333,0.0014333,-0.00053848,0.00034349,0.00034349,0.22580592284996176,-12.573811169093998,-12.939048909093998,-13.331213929093998,-12.979508369093999,0.4271234,0.4271234
8,0.47231,0.00012759,0.00022152,-0.0089622,0.00053162,0.00053162,3,-15.003,-0.012219,0.011634,-0.0073085,0.00085858,0.00085858,-0.0066613,0.0028022,0.0028022,-0.0089622,0.00053162,0.00053162,-0.0073079,0.001676,0.001676,0.25806469238334606,-14.488496624710997,-14.295631024710998,-14.981299224710998,-14.488317824710997,0.15842276,0.15842276
9,0.53135,0.00012743,0.00025623,-0.014404,0.0015367,0.0015367,3,-16.622,-0.019328,0.015686,-0.011586,0.0001319,0.0001319,-0.011413,0.0029405,0.0029405,-0.014404,0.0015367,0.0015367,-0.012192,0.0011311,0.0011311,0.2903234619167304,-15.747753971446999,-15.696199971446998,-16.587517971447,-15.928341971446997,0.4579366,0.4579366
10,0.59039,0.00012662,0.00025576,-0.0143,0.0015534,0.0015534,3,-16.514,-0.01971,0.015242,-0.011398,0.00015536,0.00015536,-0.011278,0.0029032,0.0029032,-0.0143,0.0015534,0.0015534,-0.012063,0.0011131,0.0011131,0.3225822314501147,-15.613576851798,-15.577816851798,-16.478372851798,-15.811746851797999,0.46291319999999997,0.46291319999999997
