,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper
11,0.64943,0.00012565,0.00024876,-0.01413,0.0017155,0.0017155,3,-16.369,-0.019113,0.014462,-0.011126,0.00016789,0.00016789,-0.011375,0.0028623,0.0028623,-0.01413,0.0017155,0.0017155,-0.012039,0.0010646,0.0010646,0.354841000983499,-15.438930078884997,-15.513132078884997,-16.334122078885,-15.711004078884997,0.511219,0.511219
12,0.70847,0.00012456,0.00023548,-0.013722,0.0018887,0.0018887,3,-16.141,-0.01851,0.013131,-0.010621,0.00045093,0.00045093,-0.011234,0.0024726,0.0024726,-0.013722,0.0018887,0.0018887,-0.011783,0.00073109,0.00073109,0.38709977051688343,-15.183271066023998,-15.365945066023997,-16.107369066024,-15.529547066023998,0.5628326,0.5628326
13,0.76751,0.00012325,0.00022076,-0.013858,0.0016825,0.0016825,3,-16.054,-0.01787,0.012221,-0.010448,0.00024203,0.00024203,-0.011723,0.0026623,0.0026623,-0.013858,0.0016825,0.0016825,-0.012075,0.00089672,0.00089672,0.41935854005026774,-15.005321279924999,-15.385271279924998,-16.021501279924998,-15.490167279924998,0.501385,0.501385
14,0.82655,0.00012141,0.00020875,-0.013377,0.0015289,0.0015289,3,-15.734,-0.017365,0.010683,-0.0097963,0.00017695,0.00017695,-0.011549,0.0025947,0.0025947,-0.013377,0.0015289,0.0015289,-0.011741,0.0009087,0.0009087,0.45161730958365204,-14.633581667388999,-15.155886267388999,-15.700630267388998,-15.213102267388999,0.45561219999999997,0.45561219999999997
15,0.88559,0.00011825,0.000204,-0.012393,0.0017507,0.0017507,3,-15.134,-0.016474,0.010332,-0.0087202,0.00034843,0.00034843,-0.010796,0.0023363,0.0023363,-0.012393,0.0017507,0.0017507,-0.010866,0.0006752,0.0006752,0.4838760791170364,-14.008010215425,-14.626598615425,-15.102504615425,-14.647458615425,0.5217086,0.5217086
16,0.94463,0.00010878,0.00021485,-0.0073969,0.001289,0.001289,3,-12.718,-0.011119,0.011766,-0.0047563,0.00043704,0.00043704,-0.0053254,0.0029628,0.0029628,-0.0073969,0.001289,0.001289,-0.0058015,0.0014544,0.0014544,0.5161348486504207,-11.913051912861999,-12.082643712862,-12.699950712861998,-12.224521512862,0.384122,0.384122
17,1.0037,8.7622e-05,9.0692e-05,-0.00078231,0.00083355,0.00072011,1,-8.6893,-0.0065378,0.011594,-0.00078231,5.8484e-05,5.8484e-05,-5.8527e-05,0.0019308,0.0019308,-0.0023949,0.0010636,0.0010636,-0.00072559,0.00077683,0.00077683,0.5484100098349907,-8.687366219363799,-8.471678885363799,-9.1679180393638,-8.670463659363799,0.31695280000000003,0.31695280000000003
18,1.0627,8.8125e-05,0.00016293,-0.0036536,0.00098979,0.00098979,3,-9.6005,-0.0074682,0.0098439,-0.001748,0.00035899,0.00035899,-0.0018316,0.0017063,0.0017063,-0.0036536,0.00098979,0.00098979,-0.002287,0.00047855,0.00047855,0.5806469238334608,-9.023673961812499,-9.0485867618125,-9.591542761812498,-9.184295961812499,0.29495741999999997,0.29495741999999997
19,1.1217,8.833e-05,0.00016513,-0.0041816,0.0010561,0.0010561,3,-9.7791,-0.0080928,0.0095945,-0.0019965,0.00030736,0.00030736,-0.002324,0.0018436,0.0018436,-0.0041816,0.0010561,0.0010561,-0.002752,0.00056757,0.00056757,0.6128838378319309,-9.117506455057,-9.215101455056999,-9.768666255057,-9.342645455057,0.3147178,0.3147178
20,1.1808,8.8409e-05,0.00016877,-0.0044106,0.0012782,0.0012782,3,-9.8554,-0.008376,0.01015,-0.001944,0.00052067,0.00052067,-0.0024436,0.0018211,0.0018211,-0.0044106,0.0012782,0.0012782,-0.0028755,0.000433,0.000433,0.6451753906676866,-9.1094837963561,-9.2583645963561,-9.844530596356101,-9.3870707963561,0.3809036,0.3809036
21,1.2398,8.8416e-05,0.00016836,-0.0048584,0.0011442,0.0011442,3,-9.9905,-0.0091302,0.010616,-0.0022383,0.00058931,0.00058931,-0.0028906,0.0018934,0.0018934,-0.0048584,0.0011442,0.0011442,-0.0033047,0.00041414,0.00041414,0.6774123046661567,-9.1978605936864,-9.3922459936864,-9.978650393686399,-9.5156477936864,0.3409716,0.3409716
22,1.2989,8.8382e-05,0.00017634,-0.0051849,0.0012782,0.0012782,3,-10.085,-0.00984,0.011293,-0.0022634,0.00067932,0.00067932,-0.0030498,0.0020304,0.0020304,-0.0051849,0.0012782,0.0012782,-0.0034855,0.00042055,0.00042055,0.7097038575019123,-9.2020598923678,-9.4364070923678,-10.072666892367799,-9.566245692367799,0.3809036,0.3809036
23,1.3579,8.8325e-05,0.00018475,-0.0055333,0.0014579,0.0014579,3,-10.184,-0.010417,0.012124,-0.0023483,0.00077152,0.00077152,-0.003376,0.0021328,0.0021328,-0.0055333,0.0014579,0.0014579,-0.0037686,0.00037498,0.00037498,0.7419407715003825,-9.221860428392501,-9.5281150283925,-10.1709904283925,-9.645109828392501,0.4344542,0.4344542
24,1.4169,8.8236e-05,0.00019479,-0.0060681,0.001426,0.001426,3,-10.337,-0.011778,0.013359,-0.0025716,0.00089198,0.00089198,-0.0036295,0.0023416,0.0023416,-0.0060681,0.001426,0.001426,-0.0041033,0.00041137,0.00041137,0.7741776854988526,-9.2798166337644,-9.5950708337644,-10.3217736337644,-9.7362632337644,0.424948,0.424948
25,1.476,8.8102e-05,0.00021276,-0.0063376,0.0016219,0.0016219,3,-10.405,-0.01269,0.014818,-0.002502,0.001088,0.001088,-0.0036279,0.0025087,0.0025087,-0.0063376,0.0016219,0.0016219,-0.0041675,0.00036027,0.00036027,0.8064692383346082,-9.246146799155799,-9.5816649991558,-10.3891555991558,-9.7424657991558,0.4833262,0.4833262
26,1.535,8.7911e-05,0.0002447,-0.0071275,0.0019643,0.0019643,3,-10.623,-0.014521,0.017493,-0.0028237,0.0013414,0.0013414,-0.0039287,0.0028205,0.0028205,-0.0071275,0.0019643,0.0019643,-0.0046027,0.00033556,0.00033556,0.8387061523330783,-9.3235847005719,-9.6528747005719,-10.6061171005719,-9.8537267005719,0.5853614,0.5853614
27,1.5941,8.7592e-05,0.00027884,-0.0075274,0.0018885,0.0018885,3,-10.713,-0.016852,0.020686,-0.0031527,0.0016877,0.0016877,-0.0038476,0.0030409,0.0030409,-0.0075274,0.0018885,0.0018885,-0.0047656,0.00023979,0.00023979,0.870997705168834,-9.390847879376798,-9.597928079376798,-10.694508479376799,-9.871492079376798,0.562773,0.562773
28,1.6531,8.7035e-05,0.00035725,-0.008202,0.0020799,0.0020799,3,-10.862,-0.019721,0.025991,-0.0037977,0.0020723,0.0020723,-0.00373,0.003442,0.003442,-0.008202,0.0020799,0.0020799,-0.0050235,0.00019017,0.00019017,0.9032346191673041,-9.5293155489515,-9.509140948951499,-10.8417969489515,-9.894603948951499,0.6198102,0.6198102
29,1.7121,8.5902e-05,0.00048599,-0.0087361,0.0018622,0.0018622,3,-10.914,-0.024635,0.033168,-0.0052089,0.0025162,0.0025162,-0.0034683,0.0036405,0.0036405,-0.0087361,0.0018622,0.0018622,-0.0053428,4.93e-05,4.93e-05,0.9354715331657741,-9.8405352667758,-9.321836466775801,-10.8916408667758,-9.8804374667758,0.5549356,0.5549356
30,1.7712,8.2573e-05,0.00072318,-0.010055,0.0015629,0.0015629,3,-10.988,-0.029835,0.042674,-0.0080384,0.0027498,0.0027498,-0.0040108,0.0039179,0.0039179,-0.010055,0.0015629,0.0015629,-0.0065344,2.531e-05,2.531e-05,0.9677630860015299,-10.3625265935517,-9.1623017935517,-10.963473393551698,-9.914334593551699,0.46574420000000005,0.46574420000000005
31,1.8302,6.7781e-05,0.00073273,-0.013725,0.0013696,0.0013696,3,-10.663,-0.032273,0.040468,-0.012331,0.0026836,0.0026836,-0.0083127,0.0034611,0.0034611,-0.013725,0.0013696,0.0013696,-0.010674,0.00013322,0.00013322,1.0,-10.214510349294898,-9.017056949294899,-10.629922349294898,-9.720724349294898,0.40814079999999997,0.40814079999999997
