,OCV,Cap (mAh/g),deltaH (kJ/mol),deltaS (J/mol/K)
0,2.4808999999999997,-0.0,-211080.72639160996,94.932
1,0.54562,12.333494325042256,-25030.455336898,92.664
2,0.32424,24.667954600338074,-14516.838339496,56.266999999999996
3,0.23289,37.00072446269016,-4826.485179081001,59.208
4,0.21571,49.333494325042246,-20903.005099859,-0.30253
5,0.21256,61.66626418739432,-18837.738361223997,5.6080000000000005
6,0.19496,74.00144892538032,-17580.517302184,4.1284
7,0.17419,86.3342187877324,-16399.831337851003,1.3656
8,0.15909,98.66698865008449,-16547.275211060998,-4.0182
9,0.15502,111.00217338807047,-17053.139306158,-7.0335
10,0.15687,123.33494325042257,-17668.356172023,-8.498999999999999
11,0.15644000000000002,135.66771311277463,-16405.544278876,-4.4006
12,0.15370999999999999,148.00289785076063,-14909.128560059,-0.26298
13,0.14915,160.33566771311274,-9979.195402035,14.804
14,0.14359,172.6684375754648,-5381.592951110999,28.432
15,0.14027,185.0036223134508,-6692.811645882999,22.957
16,0.13768,197.33639217580287,-11507.067033672,5.9632000000000005
17,0.13179000000000002,209.66916203815495,-16402.062022890997,-12.370000000000001
18,0.12999999999999998,222.00434677614095,-16912.071277,-14.661
19,0.12904,234.33711663849303,-16995.861357415997,-15.252999999999998
20,0.12825999999999999,246.67954600338075,-17035.928797754,-15.64
21,0.12753,258.99541173629547,-16961.918504737,-15.628
22,0.12674,271.33542622554927,-16884.205091745996,-15.623
23,0.12580999999999998,283.67544071480313,-16619.845732149,-15.037
24,0.12455999999999999,296.0154552040569,-16097.833066023999,-13.690000000000001
25,0.12265999999999999,308.3313209369716,-15237.454933513998,-11.418
26,0.11793000000000001,320.6713354262255,-10408.793508897,3.2540999999999998
27,0.10889,333.01134991547923,-20801.889899480997,-34.54900000000001
28,0.090552,345.327215648394,-8321.0212647608,1.3957
29,0.088975,357.6672301376478,-8911.3606947775,-1.0958999999999999
30,0.08870600000000001,370.0072446269016,-9144.636340227398,-1.9658000000000002
31,0.088654,382.3472591161554,-9256.822502916599,-2.3590999999999998
32,0.088629,394.66312484907013,-9306.8285695941,-2.535
33,0.08860499999999999,407.00313933832393,-9272.477921604499,-2.4274999999999998
34,0.08856699999999999,419.34315382757774,-9233.1110789543,-2.3077
35,0.088488,431.68316831683154,-9161.8955376552,-2.0943
36,0.088372,443.9990340497463,-9068.127439038799,-1.8172
37,0.088172,456.3390485390001,-8976.386572458798,-1.5740999999999998
38,0.087832,468.6790630282539,-8813.117159272799,-1.1363
39,0.08717599999999999,481.0190775175077,-8731.793780890399,-1.0758
40,0.085584,493.33494325042244,-8848.653930913599,-1.9834000000000003
41,0.08012,505.6749577396762,-9262.720871948,-5.1419999999999995
42,0.068174,518.01497222893,-5392.376885124599,3.9779000000000004
43,0.053112,530.3308379618447,-3140.7728009847997,6.6569
