,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
49,3.0959,0.00018939,0.0002036,0.022221,0.00021932,0.00021932,4,-11.606,-0.092644,0.22999,0.0013505,0.0077929,0.0077929,0.034488,0.013013,0.013013,-0.011212,0.033401,0.033401,0.022221,0.00021932,0.00021932,0.36029001024113205,-17.870908197930998
50,3.1591,0.00018849,0.2028,-0.010294,0.032452,0.032452,3,-21.275,-0.089951,0.22866,0.0032513,0.0060234,0.0060234,0.035322,0.015498,0.015498,-0.010294,0.032452,0.032452,0.023108,0.0023344,0.0023344,0.367645005120566,-17.217632998321
51,3.2223,0.00018755,0.19553,-0.008872,0.030639,0.030639,3,-20.758,-0.08729,0.22488,0.0055593,0.0042345,0.0042345,0.036233,0.017751,0.017751,-0.008872,0.030639,0.030639,0.024131,0.0044201,0.0044201,0.375,-16.439152785395
52,3.2855,0.00018657,0.17982,-0.007685,0.029273,0.029273,3,-20.306,-0.074618,0.22816,0.0082189,0.0023645,0.0023645,0.038763,0.021158,0.021158,-0.007685,0.029273,0.029273,0.026229,0.0070087,0.0070087,0.3823549948794339,-15.552036359152996
53,3.3486,0.00018558,0.15713,-0.0058513,0.026081,0.026081,3,-19.662,-0.080833,0.22195,0.010404,0.00087649,0.00087649,0.038775,0.022872,0.022872,-0.0058513,0.026081,0.026081,0.026631,0.0087027,0.0087027,0.38969835210874215,-14.805356079581998
54,3.4118,0.00018452,0.13373,-0.0035599,0.023072,0.023072,3,-18.872,-0.076456,0.21808,0.01335,0.00074103,0.00074103,0.040108,0.025325,0.025325,-0.0035599,0.023072,0.023072,0.028113,0.010765,0.010765,0.3970533469881761,-13.825173626707997
55,3.475,0.0001834,0.10813,-0.0011468,0.019226,0.019226,3,-18.04,-0.071607,0.2131,0.016139,0.0026021,0.0026021,0.040952,0.028099,0.028099,-0.0011468,0.019226,0.019226,0.029255,0.013102,0.013102,0.4044083418676101,-12.88598805386
56,3.5382,0.00018227,0.08687,0.001387,0.015799,0.015799,3,-17.17,-0.06899,0.20887,0.019051,0.0039013,0.0039013,0.04219,0.030114,0.030114,0.001387,0.015799,0.015799,0.030711,0.014753,0.014753,0.411763336747044,-11.909183627683
57,3.6014,0.00018111,0.069842,0.0042832,0.012311,0.012311,3,-16.189,-0.066351,0.20646,0.022406,0.0054262,0.0054262,0.044184,0.032507,0.032507,0.0042832,0.012311,0.012311,0.032814,0.016673,0.016673,0.41911833162647794,-10.797470641519
58,3.6646,0.00017992,0.055678,0.0068447,0.0090155,0.0090155,3,-15.304,-0.067805,0.19395,0.024449,0.0056373,0.0056373,0.044032,0.031785,0.031785,0.0068447,0.0090155,0.0090155,0.033254,0.016511,0.016511,0.4264733265059119,-10.073839095367997
59,3.7277,0.00017874,0.046106,0.0099812,0.0065575,0.0065575,3,-14.249,-0.060933,0.19597,0.028225,0.0067715,0.0067715,0.047375,0.034287,0.034287,0.0099812,0.0065575,0.0065575,0.03639,0.018228,0.018228,0.43381668373522014,-8.834738402546002
60,3.7909,0.00017755,0.00022126,0.030464,0.0071325,0.0071325,1,-7.9841,-0.060462,0.1926,0.030464,0.0071325,0.0071325,0.048441,0.03502,0.03502,0.012416,0.0046993,0.0046993,0.037755,0.018748,0.018748,0.4411716786146541,-8.052698856394999
61,3.8541,0.00017635,0.00021957,0.032545,0.0064125,0.0064125,1,-7.2422,-0.059919,0.18791,0.032545,0.0064125,0.0064125,0.04976,0.034148,0.034148,0.014858,0.0037486,0.0037486,0.039248,0.017966,0.017966,0.44852667349408804,-7.316778456914999
62,3.9173,0.00017509,0.00018415,0.03974,0.016358,0.016358,4,-4.9619,-0.061107,0.18224,0.033565,0.0049873,0.0049873,0.04993,0.03229,0.03229,0.016597,0.003597,0.003597,0.03974,0.016358,0.016358,0.455881668373522,-6.891246937461002
63,3.9805,0.00017383,0.0001828,0.040736,0.013973,0.013973,4,-4.5448,-0.056181,0.17997,0.034509,0.0026227,0.0026227,0.05101,0.02988,0.02988,0.018052,0.00471,0.00471,0.040736,0.013973,0.013973,0.463236663252956,-6.488363418007001
64,4.0436,0.00017259,0.00018152,0.04066,0.011022,0.011022,4,-4.4468,-0.059717,0.17796,0.034194,0.00013224,0.00013224,0.050866,0.026675,0.026675,0.018742,0.006385,0.006385,0.04066,0.011022,0.011022,0.47058002048226416,-6.462591605210999
65,4.1068,0.00017134,0.00018033,0.039708,0.0078974,0.0078974,4,-4.614,-0.057366,0.17566,0.032782,0.0030782,0.0030782,0.049671,0.023339,0.023339,0.018625,0.0088649,0.0088649,0.039708,0.0078974,0.0078974,0.47793501536169813,-6.762760939086
66,4.17,0.00017008,0.00017918,0.038396,0.0033764,0.0033764,4,-4.8869,-0.057874,0.17483,0.030473,0.0072389,0.0072389,0.048488,0.018351,0.018351,0.017444,0.01289,0.01289,0.038396,0.0033764,0.0033764,0.48529001024113205,-7.329271419631999
67,4.2332,0.00016885,0.00017814,0.03578,0.00099799,0.00099799,4,-5.5485,-0.061973,0.1738,0.026727,0.01107,0.01107,0.045881,0.013312,0.013312,0.014841,0.017243,0.017243,0.03578,0.00099799,0.00099799,0.492645005120566,-8.326902460165
68,4.2964,0.00016758,0.00017708,0.03197,0.0050223,0.0050223,4,-6.569,-0.067128,0.17281,0.021802,0.014498,0.014498,0.041999,0.0085309,0.0085309,0.010722,0.021946,0.021946,0.03197,0.0050223,0.0050223,0.5,-9.672016087381998
69,4.3596,0.00016629,0.000176,0.027275,0.0076673,0.0076673,4,-7.8546,-0.070963,0.17341,0.016044,0.016662,0.016662,0.037236,0.0052971,0.0052971,0.0051681,0.026291,0.026291,0.027275,0.0076673,0.0076673,0.5073549948794339,-11.263434007941001
70,4.4227,0.00016502,0.00017487,0.022649,0.007786,0.007786,4,-9.1214,-0.071084,0.17487,0.010609,0.016474,0.016474,0.032554,0.0047985,0.0047985,-0.0004969,0.028596,0.028596,0.022649,0.007786,0.007786,0.5146983521087422,-12.760527635157999
71,4.4859,0.00016371,0.00017357,0.01821,0.0051299,0.0051299,4,-10.329,-0.075572,0.17485,0.0059226,0.013455,0.013455,0.028022,0.0070074,0.0070074,-0.0054233,0.027012,0.027012,0.01821,0.0051299,0.0051299,0.5220533469881761,-14.030679049058998
72,4.5491,0.00016241,0.044782,-0.0073448,0.021817,0.021817,3,-17.876,-0.075396,0.17678,0.003845,0.0085293,0.0085293,0.026073,0.011761,0.011761,-0.0073448,0.021817,0.021817,0.01623,0.00031314,0.00031314,0.5294083418676101,-14.524372916289
73,4.6123,0.00016106,0.037275,-0.0036205,0.013035,0.013035,3,-16.627,-0.068327,0.175,0.0064517,0.001798,0.001798,0.028384,0.01812,0.01812,-0.0036205,0.013035,0.013035,0.018694,0.0062713,0.0062713,0.536763336747044,-13.617321116873999
74,4.6755,0.00015962,0.032342,0.0034576,0.0055971,0.0055971,3,-14.363,-0.059935,0.17411,0.012505,0.0044242,0.0044242,0.034455,0.024061,0.024061,0.0034576,0.0055971,0.0055971,0.024891,0.012355,0.012355,0.544118331626478,-11.674498837497998
75,4.7386,0.000158,0.032319,0.0098922,0.0017586,0.0017586,3,-12.274,-0.059529,0.16286,0.017733,0.0083383,0.0083383,0.038227,0.026467,0.026467,0.0098922,0.0017586,0.0017586,0.029625,0.015683,0.015683,0.5514616888557862,-9.9602485982
76,4.8018,0.00015623,0.00016577,0.037107,0.015598,0.015598,4,-3.9269,-0.044857,0.16509,0.023737,0.0086885,0.0086885,0.046089,0.026095,0.026095,0.015538,0.0038039,0.0038039,0.037107,0.015598,0.015598,0.5588166837352202,-8.000277558967
77,4.865,0.0001543,0.00016381,0.037811,0.008925,0.008925,4,-3.5266,-0.044309,0.15716,0.024088,0.0029979,0.0029979,0.046287,0.018263,0.018263,0.015991,0.012082,0.012082,0.037811,0.008925,0.008925,0.5661716786146541,-7.709462866470001
78,4.9282,0.00015226,0.00016162,0.034682,0.00050487,0.00050487,4,-4.2705,-0.042479,0.15169,0.020707,0.0057372,0.0057372,0.04276,0.0080423,0.0080423,0.012505,0.024241,0.024241,0.034682,0.00050487,0.00050487,0.573526673494088,-8.520170787354001
79,4.9914,0.00015019,0.0001591,0.027146,0.0074062,0.0074062,4,-6.3351,-0.045532,0.14611,0.013752,0.012338,0.012338,0.034809,0.00060421,0.00060421,0.0056792,0.032922,0.032922,0.027146,0.0074062,0.0074062,0.580881668373522,-10.393036148251
80,5.0546,0.00014817,0.041459,-0.0020469,0.030025,0.030025,3,-14.911,-0.047584,0.13923,0.006456,0.0094386,0.0094386,0.025838,0.0031225,0.0031225,-0.0020469,0.030025,0.030025,0.018428,0.0045861,0.0045861,0.5882366632529559,-12.372343775793
81,5.1177,0.00014632,0.03138,-0.003098,0.01455,0.01455,3,-15.048,-0.04349,0.13281,0.0059877,0.0049638,0.0049638,0.023063,0.017957,0.017957,-0.003098,0.01455,0.01455,0.015975,0.010163,0.010163,0.5955800204822642,-12.333399309928
82,5.1809,0.00014455,0.022633,0.0098545,0.0034849,0.0034849,3,-10.986,-0.02593,0.12722,0.02014,0.014883,0.014883,0.034623,0.028871,0.028871,0.0098545,0.0034849,0.0034849,0.02777,0.020653,0.020653,0.6029350153616981,-7.945234870694998
83,5.2441,0.00014216,0.011556,0.022141,0.0043683,0.0043683,3,-7.0646,-0.0098624,0.10963,0.034704,0.011677,0.011677,0.042854,0.027476,0.027476,0.022141,0.0043683,0.0043683,0.037037,0.018325,0.018325,0.6102900102411322,-3.3745629250639997
84,5.3073,0.00013894,0.0033122,0.012269,0.0074358,0.0074358,3,-9.7195,-0.01517,0.079767,0.029671,0.0027984,0.0027984,0.027002,0.019436,0.019436,0.012269,0.0074358,0.0074358,0.02373,0.0095623,0.0095623,0.617645005120566,-4.563714153125998
85,5.3705,0.00013652,0.00013846,0.0081175,0.014004,0.013106,4,-10.733,-0.027376,0.059723,0.019619,0.002115,0.002115,0.0085661,0.013555,0.013555,-0.0013419,0.0067062,0.0067062,0.0081175,0.0039417,0.0039417,0.625,-7.325715647507998
86,5.4336,0.00013518,0.00013693,0.00048434,0.0013829,0.0013829,4,-12.898,-0.033678,0.053536,0.014385,0.0044255,0.0044255,-0.00039073,0.010932,0.010932,-0.0084036,0.0054633,0.0054633,0.00048434,0.0013829,0.0013829,0.6323433572293082,-8.756157301421998
87,5.4968,0.00013439,0.00066477,-0.01159,0.0051432,0.0051432,3,-16.451,-0.041108,0.053482,0.011735,0.0056395,0.0056395,-0.0040714,0.0098983,0.0098983,-0.01159,0.0051432,0.0051432,-0.0028786,0.00016477,0.00016477,0.6396983521087423,-9.469633888430998
88,5.56,0.00013379,0.00068686,-0.013719,0.005272,0.005272,3,-17.031,-0.04286,0.058372,0.01082,0.0067555,0.0067555,-0.0056231,0.010176,0.010176,-0.013719,0.005272,0.005272,-0.0045598,0.00043941,0.00043941,0.6470533469881761,-9.684412688691001
89,5.6232,0.00013333,0.00077501,-0.014346,0.0051583,0.0051583,3,-17.177,-0.049461,0.06153,0.0097264,0.0072794,0.0072794,-0.0056921,0.010338,0.010338,-0.014346,0.0051583,0.0051583,-0.0051235,0.00063343,0.00063343,0.65440834186761,-9.965922235556999
90,5.6864,0.0001329,0.00093751,-0.014652,0.0058058,0.0058058,3,-17.228,-0.054138,0.068687,0.0098888,0.008325,0.008325,-0.0047983,0.010885,0.010885,-0.014652,0.0058058,0.0058058,-0.004845,0.0010251,0.0010251,0.661763336747044,-9.876038342409998
91,5.7496,0.00013248,0.0011795,-0.014759,0.0059099,0.0059099,3,-17.217,-0.059194,0.076051,0.0095318,0.0092076,0.0092076,-0.003384,0.011623,0.011623,-0.014759,0.0059099,0.0059099,-0.0044076,0.0010836,0.0010836,0.6691183316264779,-9.941900502592
