,OCV,Cap (mAh/g),deltaH (kJ/mol),deltaS (J/mol/K)
0,2.3378,-0.0,-189332.57125362,121.58
1,0.62249,12.33527980535279,-28008.274876920994,107.56
2,0.36796,24.671532846715316,-15141.297093883999,68.327
3,0.28845,37.00486618004864,-18993.706275004995,29.656
4,0.22336999999999999,49.3406326034063,-9066.026809872998,41.899
5,0.21605,61.67639902676395,-21181.561773044996,-1.1272
6,0.21348999999999999,74.01216545012161,-19764.074920821,2.8005999999999998
7,0.20018999999999998,86.34793187347925,-18482.429193251002,2.7952
8,0.18247,98.68369829683692,-18186.182694263,-1.9480000000000002
9,0.16715,111.01946472019458,-10385.361394234998,19.269000000000002
10,0.16058,123.3527980535279,-16993.865957082002,-5.0344
11,0.16104,135.68856447688555,-17571.758610216,-6.8247
12,0.16283,148.02433090024323,-9797.492756107,19.843
13,0.163,160.36009732360088,-7902.523262699999,26.256999999999998
14,0.1622,172.6958637469585,-9169.31499638,21.747
15,0.16106,185.0316301703162,-11465.969716874,13.671000000000001
16,0.15972,197.36739659367385,-13402.534570787999,6.7386
17,0.15797,209.7007299270072,-13733.043838213,5.0629
18,0.15506,222.0364963503648,-14466.305919473998,1.6601000000000001
19,0.15055,234.37226277372247,-12476.520868095,6.877000000000001
20,0.14501,246.71532846715314,-6645.936123828999,24.649
21,0.14107,259.0510948905108,-5561.311912203001,27.012999999999998
22,0.13919,271.38686131386845,-10984.733286350998,8.204899999999999
23,0.13491999999999998,283.7226277372261,-13356.627114867997,-1.137
24,0.1314,296.05839416058376,-16697.29874306,-13.487
25,0.13022,308.3941605839414,-17031.042050238,-14.989
26,0.12940000000000002,320.72992700729907,-16866.398077259997,-14.702
27,0.12869,333.0656934306567,-16862.559490901,-14.919
28,0.128,345.4014598540144,-16794.494611199996,-14.914
29,0.12729000000000001,357.73722627737203,-16639.570024841,-14.624
30,0.12647,370.0729927007297,-16378.672051862999,-14.014000000000001
31,0.1255,382.4087591240874,-16075.289278949998,-13.31
32,0.12413999999999999,394.74452554744505,-15557.563226205997,-12.013
33,0.12194,407.08029197080265,-13678.730493825999,-6.4205
34,0.11878,419.4160583941603,-7095.125841861999,14.649000000000001
35,0.11503999999999999,431.75182481751796,-19441.288696816,-27.992
36,0.099222,444.0632603406323,-71.4397010038006,31.886
37,0.090441,456.39902676399,-8334.836792808901,1.3134
38,0.089187,468.7347931873477,-8755.0598653523,-0.50276
39,0.08886,481.0705596107053,-9003.641081493999,-1.4427999999999999
40,0.088753,493.4063260340629,-9132.632150873698,-1.9102999999999999
41,0.088701,505.74209245742054,-9196.1549135629,-2.1403
42,0.088656,518.0778588807783,-9210.795673582397,-2.2039999999999997
43,0.08860499999999999,530.413625304136,-9219.4637216045,-2.2496
44,0.088535,542.7493917274936,-9162.2583483015,-2.0803000000000003
45,0.088435,555.0851581508513,-9116.9392150115,-1.9606
46,0.08828899999999999,567.4209245742089,-9025.7001564081,-1.7017
47,0.08805,579.7566909975666,-8975.820161844998,-1.6117
48,0.08764599999999999,592.0924574209242,-8872.680687353399,-1.3963999999999999
49,0.086853,604.4282238442819,-8945.3466183637,-1.897
50,0.08480800000000001,616.7639902676395,-9259.4915125832,-3.6132999999999997
51,0.07784,629.0997566909972,-9474.774712936,-6.5918
52,0.069731,641.4355231143549,-4791.7637484499,6.4975
53,0.061476,653.7712895377125,-3556.5319253603993,7.969800000000001
54,0.049097,666.10705596107,-981.4463893912997,12.603
