,OCV,Cap (mAh/g),deltaH (kJ/mol),deltaS (J/mol/K)
0,2.5090999999999997,-0.0,-109508.16877938996,444.91
1,0.6622899999999999,12.33541585318235,-40339.90112634099,79.065
2,0.40498999999999996,24.670050761421322,-14687.870971170994,81.838
3,0.39773000000000003,37.007028504490435,-12560.861454317002,86.625
4,0.37856,49.342053885201096,-39207.189622624,-8.999
5,0.34825999999999996,61.67707926591176,-121166.302035754,-293.84
6,0.31418,74.01210464662242,-89177.701890522,-197.53
7,0.27975,86.34713002733308,16909.588121225006,147.32
8,0.24424,98.68215540804373,25279.602292503998,163.91
9,0.22862,111.01913315111285,15125.963192402005,124.78
10,0.22393000000000002,123.35415853182351,-7181.866596296999,48.403
11,0.22168000000000002,135.68918391253416,-27490.716597272,-20.476000000000003
12,0.22047,148.02420929324484,-33409.363344463,-40.729
13,0.21971,160.35923467395548,-36221.866491459,-50.413
14,0.21912,172.69426005466616,-35257.82814504799,-47.369
15,0.2186,185.03123779773526,-31569.671771939997,-35.161
16,0.21808,197.36431081608745,-27209.823398832,-20.698999999999998
17,0.21752,209.70324092151506,-23195.103412408,-7.4081
18,0.21685000000000001,222.0421710269426,-19840.150839365,3.6332
19,0.21604,234.38110113237016,-17205.813319716,12.211
20,0.21514,246.70050761421322,-15365.246520105999,18.096
21,0.21420999999999998,259.0394377196408,-13881.173160508997,22.775
22,0.21324,271.3783678250683,-12777.362387596,26.165
23,0.21228999999999998,283.71729793049593,-11990.765321340998,28.497
24,0.21139,296.0562280359235,-11459.014521730996,29.99
25,0.21042,308.3756345177665,-11003.949748818,31.203000000000003
26,0.20945999999999998,320.71456462319406,-10807.321829233999,31.551999999999996
27,0.20851999999999998,333.0534947286216,-10655.833616307997,31.756
28,0.20759,345.39242483404917,-10608.418256711,31.614000000000004
29,0.20668,357.7313549394768,-10565.316603771997,31.464
30,0.20578,370.0702850449043,-10760.983804161999,30.516000000000002
31,0.20490999999999998,382.38969152674736,-10807.565564538998,30.078
32,0.20405,394.7286216321749,-11079.208178244999,28.888
33,0.20315,407.0675517376025,-11270.107378634999,27.956000000000003
34,0.20225,419.4064818430301,-11488.124579025001,26.933
35,0.20138,431.7454119484576,-11741.816339401998,25.8
36,0.20055,444.0648184303007,-12228.231513095,23.899
37,0.1997,456.4037485357282,-12715.10098013,21.99
38,0.19886,468.7426786411558,-13293.527300493999,19.777
