,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
36,2.1777,0.0002045,0.00020697,0.074916,0.021145,0.021145,2,2.7478,-0.10197,0.29231,0.032307,0.0085474,0.0085474,0.074916,0.021145,0.021145,0.036464,0.0088869,0.0088869,0.059084,0.0028696,0.0028696,0.2399907428835918,-10.103764578049997
37,2.2382,0.0002037,0.00020612,0.0738,0.019239,0.019239,2,2.489,-0.10594,0.29007,0.031658,0.010189,0.010189,0.0738,0.019239,0.019239,0.035409,0.0107,0.0107,0.058065,0.0011322,0.0011322,0.24665807077285903,-10.219978311729998
38,2.2987,0.00020292,0.00020532,0.071725,0.016464,0.016464,2,1.9399,-0.10337,0.28403,0.030103,0.012093,0.012093,0.071725,0.016464,0.016464,0.033667,0.012813,0.012813,0.056151,0.0012058,0.0012058,0.2533253986621263,-10.608109752067998
39,2.3592,0.00020212,0.00020448,0.0699,0.014647,0.014647,2,1.4697,-0.10232,0.27916,0.028873,0.013301,0.013301,0.0699,0.014647,0.014647,0.032068,0.014355,0.014355,0.054525,0.0026667,0.0026667,0.25999272655139355,-10.897461485747998
40,2.4197,0.00020133,0.00020368,0.068562,0.01259,0.01259,2,1.1421,-0.10321,0.2775,0.027646,0.015045,0.015045,0.068562,0.01259,0.01259,0.030722,0.016403,0.016403,0.053272,0.0045475,0.0045475,0.2666600544406608,-11.186884072757
41,2.4802,0.00020053,0.00020287,0.066766,0.011032,0.011032,2,0.67973,-0.10065,0.27363,0.026274,0.016185,0.016185,0.066766,0.011032,0.011032,0.028985,0.018119,0.018119,0.051704,0.0058419,0.0058419,0.27332738232992804,-11.518551806437
42,2.5407,0.00019975,0.00020209,0.064916,0.0096001,0.0096001,2,0.19889,-0.1004,0.27106,0.024668,0.017187,0.017187,0.064916,0.0096001,0.0096001,0.027176,0.019624,0.019624,0.050029,0.0070197,0.0070197,0.2799947102191953,-11.921881246774998
43,2.6012,0.00019902,0.00020135,0.064272,0.0084197,0.0084197,2,0.077786,-0.093055,0.27175,0.023567,0.018504,0.018504,0.064272,0.0084197,0.0084197,0.025818,0.021427,0.021427,0.049249,0.0082953,0.0082953,0.2866620381084626,-12.179544953758
44,2.6617,0.00019832,0.00020065,0.060069,0.0072437,0.0072437,2,-1.1041,-0.10239,0.26313,0.020944,0.018459,0.018459,0.060069,0.0072437,0.0072437,0.022643,0.02204,0.02204,0.045699,0.0087124,0.0087124,0.29332936599772985,-12.893659220728
45,2.7222,0.00019755,0.00019988,0.058585,0.0058333,0.0058333,2,-1.4749,-0.10236,0.26327,0.019064,0.019398,0.019398,0.058585,0.0058333,0.0058333,0.020253,0.023865,0.023865,0.044098,0.0099242,0.0099242,0.29999669388699707,-13.379605514395
46,2.7827,0.00019676,0.0001991,0.055928,0.0055154,0.0055154,2,-2.1951,-0.10318,0.26065,0.016899,0.019422,0.019422,0.055928,0.0055154,0.0055154,0.017151,0.025212,0.025212,0.041722,0.010015,0.010015,0.30666402177626434,-13.948552101404001
47,2.8432,0.00019596,0.00019829,0.053076,0.0053654,0.0053654,2,-2.9733,-0.10693,0.25737,0.014686,0.019111,0.019111,0.053076,0.0053654,0.0053654,0.013969,0.026055,0.026055,0.039123,0.0098646,0.0098646,0.31333134966553156,-14.530837835083997
48,2.9037,0.00019507,0.00021156,0.036877,0.0095563,0.0095563,4,-7.7547,-0.10793,0.25608,0.012507,0.01857,0.01857,0.050821,0.0054245,0.0054245,0.010286,0.027372,0.027372,0.036877,0.0095563,0.0095563,0.3199986775547989,-15.094307888802998
49,2.9642,0.00019424,0.00021058,0.034452,0.0088171,0.0088171,4,-8.4039,-0.10483,0.25479,0.010206,0.017719,0.017719,0.048373,0.0060056,0.0060056,0.0061327,0.028822,0.028822,0.034452,0.0088171,0.0088171,0.3266660054440661,-15.699923062496
50,3.0247,0.00019342,0.00020955,0.032158,0.0079119,0.0079119,4,-9.0147,-0.10566,0.25265,0.0083981,0.016872,0.016872,0.045911,0.0068231,0.0068231,0.0024865,0.030181,0.030181,0.032158,0.0079119,0.0079119,0.33333333333333337,-16.159559289518
51,3.0852,0.00019262,0.00020852,0.030056,0.0066626,0.0066626,4,-9.5683,-0.10517,0.25012,0.0068446,0.015611,0.015611,0.043708,0.007954,0.007954,-0.0010201,0.03121,0.03121,0.030056,0.0066626,0.0066626,0.3400006612226006,-16.545314023198
52,3.1456,0.00019185,0.00020753,0.029502,0.005589,0.005589,4,-9.6603,-0.096357,0.25514,0.00596,0.014828,0.014828,0.043618,0.0094468,0.0094468,-0.0043921,0.033778,0.033778,0.029502,0.005589,0.005589,0.34665696873519136,-16.734631116865
53,3.2061,0.00019112,0.0002065,0.027425,0.0040095,0.0040095,4,-10.207,-0.10563,0.24911,0.0052142,0.013264,0.013264,0.041044,0.010747,0.010747,-0.0064009,0.03368,0.03368,0.027425,0.0040095,0.0040095,0.35332429662445863,-16.886445223848
54,3.2666,0.00019032,0.00020539,0.02659,0.0025753,0.0025753,4,-10.381,-0.10297,0.24769,0.0050961,0.012066,0.012066,0.040174,0.012322,0.012322,-0.0082142,0.034659,0.034659,0.02659,0.0025753,0.0025753,0.3599916245137259,-16.844450757527998
55,3.3271,0.0001895,0.0002042,0.026133,0.00077103,0.00077103,4,-10.439,-0.098388,0.24584,0.0056296,0.010719,0.010719,0.039543,0.014451,0.014451,-0.0089533,0.035089,0.035089,0.026133,0.00077103,0.00077103,0.3666589524029932,-16.606349784549998
56,3.3876,0.00018866,0.00020298,0.025768,0.00070316,0.00070316,4,-10.467,-0.099438,0.2439,0.0063415,0.0095609,0.0095609,0.039112,0.016058,0.016058,-0.0094734,0.034842,0.034842,0.025768,0.00070316,0.00070316,0.3733262802922604,-16.313155904913998
57,3.4481,0.00018781,0.00020172,0.026192,0.0025088,0.0025088,4,-10.258,-0.096097,0.24363,0.007782,0.0082192,0.0082192,0.039537,0.018322,0.018322,-0.0091374,0.034072,0.034072,0.026192,0.0025088,0.0025088,0.37999360818152766,-15.801874371948998
58,3.5086,0.0001869,0.25332,-0.0085202,0.031433,0.031433,3,-20.591,-0.096955,0.23337,0.0089527,0.0071194,0.0071194,0.038417,0.018931,0.018931,-0.0085202,0.031433,0.031433,0.025486,0.0034575,0.0034575,0.38666093607079494,-15.365204119009999
59,3.5691,0.000186,0.22569,-0.0076309,0.03005,0.03005,3,-20.237,-0.089673,0.2396,0.011152,0.0057101,0.0057101,0.040393,0.022331,0.022331,-0.0076309,0.03005,0.03005,0.027077,0.0057745,0.0057745,0.3933282639600622,-14.622975919399998
60,3.6296,0.00018508,0.19062,-0.0060192,0.026641,0.026641,3,-19.665,-0.089419,0.23613,0.013031,0.0040939,0.0040939,0.040645,0.024565,0.024565,-0.0060192,0.026641,0.026641,0.027575,0.0077144,0.0077144,0.3999955918493294,-13.974267413131999
61,3.6901,0.00018412,0.15535,-0.0040214,0.023391,0.023391,3,-18.972,-0.08827,0.23182,0.015255,0.0031918,0.0031918,0.041417,0.025814,0.025814,-0.0040214,0.023391,0.023391,0.028504,0.0087936,0.0087936,0.4066629197385967,-13.218889493547998
62,3.7506,0.00018308,0.12069,-0.0015264,0.019087,0.019087,3,-18.122,-0.088654,0.22625,0.017471,0.0017761,0.0017761,0.041866,0.02751,0.02751,-0.0015264,0.019087,0.019087,0.0293,0.010362,0.010362,0.4133302476278639,-12.458176747331999
63,3.8111,0.00018202,0.093553,0.0016347,0.01509,0.01509,3,-17.072,-0.081175,0.22401,0.020462,0.00047513,0.00047513,0.043965,0.029491,0.029491,0.0016347,0.01509,0.01509,0.031413,0.011961,0.011961,0.4199975755171312,-11.464584294458
64,3.8716,0.00018098,0.074169,0.0047452,0.011549,0.011549,3,-16.038,-0.081761,0.2211,0.023009,0.00051304,0.00051304,0.045639,0.030695,0.030695,0.0047452,0.011549,0.011549,0.033214,0.013045,0.013045,0.42666490340639845,-10.605233548241998
65,3.9321,0.00017994,0.060229,0.0078275,0.0083378,0.0083378,3,-15.013,-0.075121,0.21762,0.025194,0.0017607,0.0017607,0.046885,0.032364,0.032364,0.0078275,0.0083378,0.0083378,0.034792,0.014476,0.014476,0.4333322312956657,-9.853758802025997
66,3.9926,0.00017889,0.051285,0.010768,0.0062463,0.0062463,3,-14.028,-0.072398,0.21505,0.027499,0.0020581,0.0020581,0.049233,0.032478,0.032478,0.010768,0.0062463,0.0062463,0.037023,0.014687,0.014687,0.43999955918493294,-9.065559202480998
67,4.0531,0.0001779,0.045721,0.01302,0.004862,0.004862,3,-13.255,-0.072089,0.21195,0.028884,0.0023103,0.0023103,0.050301,0.032476,0.032476,0.01302,0.004862,0.004862,0.038289,0.014829,0.014829,0.44666688707420016,-8.557308722909998
68,4.1135,0.00017684,0.00018757,0.038992,0.014065,0.014065,4,-5.3531,-0.073571,0.20838,0.029558,0.0017964,0.0017964,0.050844,0.031377,0.031377,0.014448,0.0046893,0.0046893,0.038992,0.014065,0.014065,0.453323194586791,-8.254182270035997
69,4.174,0.00017575,0.00018646,0.039726,0.013515,0.013515,4,-5.0296,-0.072629,0.20705,0.030135,0.0012924,0.0012924,0.051397,0.030765,0.030765,0.015512,0.0052694,0.0052694,0.039726,0.013515,0.013515,0.4599905224760583,-7.977067257174998
70,4.2345,0.00017467,0.00018537,0.039865,0.011652,0.011652,4,-4.8825,-0.069411,0.20447,0.02991,0.00031277,0.00031277,0.051585,0.028566,0.028566,0.015525,0.0071431,0.0071431,0.039865,0.011652,0.011652,0.4666578503653255,-7.939913097643
71,4.295,0.00017352,0.00018417,0.038951,0.0090025,0.0090025,4,-5.0476,-0.073124,0.20219,0.028756,0.0026228,0.0026228,0.050623,0.025466,0.025466,0.014477,0.0099934,0.0099934,0.038951,0.0090025,0.0090025,0.47332517825459275,-8.172846964807999
72,4.3555,0.0001724,0.00018305,0.037877,0.0065817,0.0065817,4,-5.2608,-0.075506,0.20272,0.027371,0.0049737,0.0049737,0.049501,0.022953,0.022953,0.013153,0.013078,0.013078,0.037877,0.0065817,0.0065817,0.47999250614386,-8.477513391959999
73,4.416,0.00017123,0.00018189,0.036052,0.003536,0.003536,4,-5.697,-0.07378,0.19984,0.025251,0.0076703,0.0076703,0.047606,0.019459,0.019459,0.011502,0.015843,0.015843,0.036052,0.003536,0.003536,0.4866598340331273,-8.996385552466997
74,4.4765,0.00017008,0.00018075,0.034266,0.00081374,0.00081374,4,-6.1215,-0.074293,0.19937,0.023082,0.010211,0.010211,0.04578,0.016511,0.016511,0.010246,0.017761,0.017761,0.034266,0.00081374,0.00081374,0.4933271619223945,-9.531789419631998
75,4.537,0.00016895,0.00017966,0.03051,0.0005954,0.0005954,4,-7.1362,-0.08419,0.19084,0.019736,0.011084,0.011084,0.040969,0.014327,0.014327,0.0092256,0.01718,0.01718,0.03051,0.0005954,0.0005954,0.4999944898116618,-10.419868993454998
76,4.5975,0.00016782,0.00017869,0.030732,0.0026661,0.0026661,4,-6.9604,-0.076029,0.19945,0.018228,0.01318,0.01318,0.04201,0.012486,0.012486,0.0092807,0.017845,0.017845,0.030732,0.0026661,0.0026661,0.5066618177009291,-10.760224567277998
77,4.658,0.00016663,0.00017772,0.028756,0.0035671,0.0035671,4,-7.4371,-0.081585,0.1965,0.015239,0.013229,0.013229,0.0399,0.01063,0.01063,0.0091011,0.016217,0.016217,0.028756,0.0035671,0.0035671,0.5133291455901964,-11.536129021126996
78,4.7185,0.00016541,0.00017683,0.027743,0.002671,0.002671,4,-7.6241,-0.079707,0.19606,0.012854,0.011744,0.011744,0.038626,0.010875,0.010875,0.0094873,0.01401,0.01401,0.027743,0.002671,0.002671,0.5199964734794635,-12.129146914989
79,4.779,0.00016416,0.00017613,0.027178,0.001122,0.001122,4,-7.6731,-0.079931,0.19537,0.010343,0.0090819,0.0090819,0.03784,0.011303,0.011303,0.0098618,0.011492,0.011492,0.027178,0.001122,0.001122,0.5266638013687308,-12.756818248863999
80,4.8395,0.00016286,0.00017544,0.02718,0.00053252,0.00053252,4,-7.5477,-0.078916,0.19549,0.0082762,0.0059822,0.0059822,0.03772,0.011673,0.011673,0.0096915,0.0097943,0.0097943,0.02718,0.00053252,0.00053252,0.5333311292579981,-13.247293716093997
81,4.9,0.00016152,0.00017474,0.02738,0.0018545,0.0018545,4,-7.3575,-0.07714,0.1946,0.0068259,0.0032535,0.0032535,0.037472,0.011756,0.011756,0.0089755,0.0096158,0.0096158,0.02738,0.0018545,0.0018545,0.5399984571472654,-13.550192770008
82,4.9605,0.00016013,0.00017391,0.028416,0.0021512,0.0021512,4,-6.9122,-0.073756,0.19542,0.0063955,0.0017486,0.0017486,0.038082,0.011053,0.011053,0.0078624,0.011928,0.011928,0.028416,0.0021512,0.0021512,0.5466657850365325,-13.544337357277
83,5.021,0.00015861,0.00017272,0.029108,0.0016482,0.0016482,4,-6.5585,-0.068645,0.19273,0.0065213,0.0014659,0.0014659,0.038126,0.0097026,0.0097026,0.0062011,0.01643,0.01643,0.029108,0.0016482,0.0016482,0.5533331129257998,-13.360191251268999
84,5.0815,0.00015695,0.00015959,0.038024,0.0066511,0.0066511,2,-3.7201,-0.062022,0.18925,0.0065908,0.0027528,0.0027528,0.038024,0.0066511,0.0066511,0.0042433,0.022175,0.022175,0.029341,0.0006246,0.0006246,0.5600004408150671,-13.179314598654997
85,5.142,0.0001552,0.15151,0.0033322,0.026693,0.026693,3,-13.974,-0.057683,0.18429,0.0067025,0.0045954,0.0045954,0.037271,0.0039277,0.0039277,0.0033322,0.026693,0.026693,0.028965,0.0028609,0.0028609,0.5666677687043343,-12.97717866608
86,5.2024,0.00015338,0.14213,0.0027182,0.029235,0.029235,3,-13.982,-0.049525,0.17861,0.006695,0.0056767,0.0056767,0.036348,0.002416,0.002416,0.0027182,0.029235,0.029235,0.028282,0.004088,0.004088,0.5733240762169252,-12.803810360201998
87,5.2629,0.00015164,0.12497,0.0016032,0.027128,0.027128,3,-14.149,-0.054075,0.17159,0.0054685,0.0033996,0.0033996,0.033366,0.0045164,0.0045164,0.0016032,0.027128,0.027128,0.025793,0.0016848,0.0016848,0.5799914041061924,-13.001422880956
88,5.3234,0.00014974,0.10144,0.00097345,0.021191,0.021191,3,-14.156,-0.040946,0.16727,0.0051727,0.003307,0.003307,0.032299,0.01158,0.01158,0.00097345,0.021191,0.021191,0.02478,0.0053218,0.0053218,0.5866587319954597,-12.906249148446001
89,5.3839,0.00014802,0.079963,0.0027835,0.013736,0.013736,3,-13.445,-0.042633,0.15677,0.0071307,0.0094005,0.0094005,0.031596,0.017575,0.017575,0.0027835,0.013736,0.013736,0.02458,0.01162,0.01162,0.5933260598847269,-12.156810375858
90,5.4444,0.00014624,0.058487,0.010595,0.009741,0.009741,3,-10.925,-0.03154,0.1484,0.015508,0.012475,0.012475,0.037763,0.021427,0.021427,0.010595,0.009741,0.009741,0.030945,0.015335,0.015335,0.5999933877739941,-9.488631083296
91,5.5049,0.00014413,0.034524,0.01806,0.0086132,0.0086132,3,-8.4788,-0.021124,0.13436,0.024717,0.011651,0.011651,0.043231,0.022083,0.022083,0.01806,0.0086132,0.0086132,0.036557,0.015555,0.015555,0.6066607156632614,-6.540765030876998
92,5.5654,0.00014143,0.013784,0.016532,0.0075714,0.0075714,3,-8.6801,-0.015587,0.11204,0.02607,0.0091357,0.0091357,0.037932,0.022501,0.022501,0.016532,0.0075714,0.0075714,0.031916,0.014716,0.014716,0.6133280435525287,-5.877060632047
93,5.6259,0.00013875,0.004828,0.0084151,0.0072198,0.0072198,3,-10.86,-0.020214,0.087992,0.021729,0.004483,0.004483,0.025539,0.019511,0.019511,0.0084151,0.0072198,0.0072198,0.020944,0.01076,0.01076,0.6199953714417958,-6.912097939875
94,5.6864,0.00013661,0.0020292,-0.00040707,0.006283,0.006283,3,-13.304,-0.027898,0.069572,0.015741,0.00074532,0.00074532,0.012613,0.015917,0.015917,-0.00040707,0.006283,0.006283,0.0098812,0.0068779,0.0068779,0.6266626993310631,-8.490043327469
95,5.7469,0.00013511,0.00013717,0.0023397,0.0040278,0.0040278,4,-12.333,-0.031241,0.059794,0.011504,0.0018833,0.0018833,0.0035813,0.013229,0.013229,-0.0067944,0.0053144,0.0053144,0.0023397,0.0040278,0.0040278,0.6333300272203304,-9.607941328119
96,5.8074,0.00013412,0.00013603,-0.0021089,0.0023261,0.0023261,4,-13.575,-0.037359,0.055651,0.0086947,0.0034056,0.0034056,-0.0017213,0.011532,0.011532,-0.010576,0.0044413,0.0044413,-0.0021089,0.0023261,0.0023261,0.6399973551095978,-10.349592248548
