,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
0,-0.0,0.0024219,0.0023556,0.58508,0.14904,0.1493,2,-58.045,0.66379,0.24627,0.63956,0.030042,0.030042,0.58508,0.015953,0.015953,0.58496,0.14917,0.14917,0.74943,0.024443,0.024443,-0.0,-43.08894775050996
1,0.060494,0.00075924,0.64123,0.0079651,0.065569,0.065569,3,-70.864,-0.39486,1.0488,0.078598,0.014605,0.014605,0.19834,0.12175,0.12175,0.0079651,0.065569,0.065569,0.13889,0.041662,0.041662,0.006666666666666667,-49.833320150995995
2,0.12099,0.00042593,3.2888,0.039347,0.038973,0.038973,3,-29.279,-0.28872,0.80319,0.067797,0.01058,0.01058,0.17403,0.078075,0.078075,0.039347,0.038973,0.038973,0.12963,0.02485,0.02485,0.013333553740866864,-20.892491842097
3,0.18148,0.00041772,0.00045969,0.13209,0.020909,0.020909,4,-0.6327,-0.36368,0.8634,0.11582,0.038724,0.038724,0.18102,0.1043,0.1043,0.03597,0.040013,0.040013,0.13209,0.020909,0.020909,0.01999977959246647,-5.789493258987996
4,0.24197,0.00040776,0.00045848,0.12575,0.012801,0.012801,4,-1.5794,-0.43486,0.93789,0.078953,0.041003,0.041003,0.1797,0.089082,0.089082,0.034803,0.037729,0.037729,0.12575,0.012801,0.012801,0.02666600544406608,-15.814865343304
5,0.30246,0.00038499,5.1828,0.069258,0.0045334,0.0045334,3,-16.358,-0.43496,1.0268,0.05541,0.027227,0.027227,0.1916,0.088716,0.088716,0.069258,0.0045334,0.0045334,0.13441,0.018772,0.018772,0.03333223129566569,-20.633708313171
6,0.36296,0.00035332,2.4054e-07,0.13762,0.1374,0.14987,3,7.2049,-0.44768,1.0667,-0.062811,0.049532,0.049532,0.12805,0.14029,0.14029,0.13762,0.1374,0.1374,0.11405,0.1467,0.1467,0.03999955918493294,-52.807875820228006
7,0.42345,0.00032045,0.0040386,-0.19134,0.22359,0.22359,2,-88.319,-0.43343,1.0688,-0.30567,0.060603,0.060603,-0.19134,0.22359,0.22359,-0.2271,0.25051,0.25051,-0.19268,0.21702,0.21702,0.04666578503653255,-122.008384927805
8,0.48394,0.00029086,0.0025596,-0.0042463,0.15622,0.15622,2,-29.337,-0.12451,0.86547,-0.087201,0.26799,0.26799,-0.0042463,0.15622,0.15622,-0.025219,0.1328,0.1328,-0.0056556,0.15251,0.15251,0.05333201088813216,-54.049621927294
9,0.54443,0.00026316,49.981,0.24165,0.14191,0.15244,3,47.101,0.1866,0.54844,0.23639,0.14718,0.14718,0.31907,0.14548,0.14548,0.24165,0.056224,0.056224,0.3032,0.13785,0.13785,0.059998236739731765,45.053139794036
10,0.60493,0.00023692,0.041663,0.11857,0.01864,0.01864,3,12.734,0.049304,0.24441,0.17914,0.043382,0.043382,0.15865,0.095731,0.095731,0.11857,0.01864,0.01864,0.15288,0.064129,0.064129,0.06666556462899902,30.524414929331996
11,0.66542,0.00022589,0.00022576,0.08718,0.043544,0.043544,2,4.3729,-0.052709,0.16287,0.12264,0.0070137,0.0070137,0.08718,0.043544,0.043544,0.076449,0.029307,0.029307,0.08773,0.012516,0.012516,0.07333179048059864,14.751648151219001
12,0.72591,0.0002225,0.00022283,0.051868,0.013843,0.013843,2,-5.9013,-0.12819,0.20582,0.05942,0.066069,0.066069,0.051868,0.013843,0.013843,0.030506,0.037352,0.037352,0.042607,0.045098,0.045098,0.07999801633219825,-3.7608265702499963
13,0.7864,0.00022093,0.00022151,0.0070635,0.047168,0.047168,2,-19.196,-0.18655,0.25916,0.006272,0.10373,0.10373,0.0070635,0.047168,0.047168,-0.029093,0.086434,0.086434,-0.0061357,0.080542,0.080542,0.08666424218379784,-19.447448597596996
14,0.8469,0.00022003,0.00023348,-0.026604,0.072544,0.072544,4,-29.218,-0.22288,0.29402,-0.019001,0.096786,0.096786,-0.011946,0.037537,0.037537,-0.025637,0.050051,0.050051,-0.026604,0.072544,0.072544,0.0933315700730651,-26.891965797986998
15,0.90739,0.00021939,0.00022074,-0.0087728,0.0077507,0.0077507,2,-23.802,-0.23984,0.32207,-0.032572,0.064831,0.064831,-0.0087728,0.0077507,0.0077507,-0.00432,0.0046204,0.0046204,-0.026974,0.041238,0.041238,0.0999977959246647,-30.874373184931
16,0.96788,0.00021889,2.0025e-05,0.015917,0.025407,0.025407,3,-16.341,-0.23792,0.34868,-0.039168,0.034352,0.034352,0.0017413,0.016279,0.016279,0.015917,0.025407,0.025407,-0.018658,0.013743,0.013743,0.10666402177626431,-32.791738518481
17,1.0284,0.00021848,5.3451e-06,0.033125,0.038345,0.038345,3,-11.133,-0.23352,0.36974,-0.038537,0.014888,0.014888,0.014793,0.027827,0.027827,0.033125,0.038345,0.038345,-0.006187,0.0017276,0.0017276,0.11333355374086687,-32.564141531992
18,1.0889,0.00021808,2.7382e-06,0.048699,0.041539,0.041539,3,-6.419,-0.22296,0.38473,-0.030919,0.0044384,0.0044384,0.029935,0.031517,0.031517,0.048699,0.041539,0.041539,0.0092891,0.0085095,0.0085095,0.12000088163013412,-30.255383398832
19,1.1494,0.00021767,4.6263e-06,0.061245,0.038905,0.038905,3,-2.6178,-0.20885,0.39343,-0.019333,0.00075156,0.00075156,0.04583,0.031079,0.031079,0.061245,0.038905,0.038905,0.025695,0.010528,0.010528,0.1266682095194014,-26.763196412343
20,1.2099,0.00021718,3.2241e-05,0.067716,0.03422,0.03422,3,-0.63447,-0.18447,0.39982,-0.0079701,0.0033296,0.0033296,0.059792,0.030216,0.030216,0.067716,0.03422,0.03422,0.039977,0.011081,0.011081,0.13333553740866863,-23.329774399222
21,1.2703,0.00021663,0.00022213,0.070177,0.029547,0.030769,2,0.15608,-0.17286,0.39897,0.0024315,0.0043788,0.0043788,0.070177,0.029547,0.029547,0.067712,0.028304,0.028304,0.050772,0.011247,0.011247,0.1399918449212594,-20.177030666127
22,1.3308,0.00021599,0.0002214,0.077974,0.029231,0.029231,2,2.5573,-0.15925,0.39609,0.010818,0.0047177,0.0047177,0.077974,0.029231,0.029231,0.065058,0.022272,0.022272,0.05877,0.011314,0.011314,0.14665917281052668,-17.616103053071
23,1.3913,0.00021524,0.00022039,0.083555,0.029945,0.029945,2,4.2995,-0.13459,0.39064,0.01738,0.0047265,0.0047265,0.083555,0.029945,0.029945,0.061046,0.016997,0.016997,0.064398,0.011857,0.011857,0.15332650069979392,-15.588263053395998
24,1.4518,0.00021455,0.00021932,0.084928,0.030025,0.030025,2,4.7925,-0.13666,0.38028,0.021734,0.0041008,0.0041008,0.084928,0.030025,0.030025,0.056798,0.013036,0.013036,0.066107,0.011906,0.011906,0.15999382858906117,-14.224196173695
25,1.5123,0.00021375,0.00021818,0.086751,0.030652,0.030652,2,5.4175,-0.13201,0.37399,0.025509,0.0036059,0.0036059,0.086751,0.030652,0.030652,0.05383,0.009836,0.009836,0.067999,0.0122,0.0122,0.16666115647832844,-13.022057907374997
26,1.5728,0.00021292,0.00021702,0.087432,0.030023,0.030023,2,5.7045,-0.12719,0.3636,0.028525,0.0027935,0.0027935,0.087432,0.030023,0.030023,0.051363,0.006851,0.006851,0.068798,0.011632,0.011632,0.17332848436759568,-12.043207081068
27,1.6333,0.00021208,0.00021586,0.087274,0.030092,0.030092,2,5.7398,-0.12257,0.35456,0.030698,0.0020092,0.0020092,0.087274,0.030092,0.030092,0.049255,0.0049145,0.0049145,0.068854,0.011495,0.011495,0.17999581225686295,-11.314605401431997
28,1.6938,0.00021122,0.00021475,0.085991,0.029973,0.029973,2,5.4368,-0.12137,0.34501,0.032004,0.001072,0.001072,0.085991,0.029973,0.029973,0.047008,0.0032583,0.0032583,0.067987,0.011224,0.011224,0.1866631401461302,-10.842440015138001
29,1.7543,0.00021038,0.00021369,0.085551,0.030289,0.030289,2,5.3852,-0.11497,0.33797,0.033438,0.00046412,0.00046412,0.085551,0.030289,0.030289,0.045843,0.0022828,0.0022828,0.067817,0.011262,0.011262,0.19333046803539747,-10.334060335501999
30,1.8148,0.00020954,0.00021264,0.084325,0.028723,0.028723,2,5.1005,-0.11415,0.3299,0.033944,0.00097301,0.00097301,0.084325,0.028723,0.028723,0.04401,0.0015029,0.0015029,0.06671,0.0098381,0.0098381,0.1999977959246647,-10.102224655865998
31,1.8753,0.00020875,0.00021168,0.08374,0.027708,0.027708,2,5.0062,-0.11163,0.32351,0.034723,0.0020607,0.0020607,0.08374,0.027708,0.027708,0.042771,0.0024938,0.0024938,0.066244,0.0088625,0.0088625,0.20666512381393196,-9.793859242875001
32,1.9358,0.00020791,0.0002107,0.080286,0.026912,0.026912,2,4.0492,-0.11161,0.31276,0.033811,0.0030168,0.0030168,0.080286,0.026912,0.026912,0.04062,0.0030636,0.0030636,0.063473,0.0082138,0.0082138,0.21333245170319923,-9.984587563239
33,1.9963,0.00020702,0.00020969,0.079262,0.025135,0.025135,2,3.8227,-0.1109,0.30714,0.033807,0.0045678,0.0045678,0.079262,0.025135,0.025135,0.03949,0.0047044,0.0047044,0.062541,0.0065917,0.0065917,0.21999977959246647,-9.899907616958002
34,2.0568,0.00020612,0.00020872,0.078154,0.02389,0.02389,2,3.5704,-0.11133,0.30388,0.033593,0.0060633,0.0060633,0.078154,0.02389,0.02389,0.038697,0.0062957,0.0062957,0.061727,0.0053158,0.0053158,0.22666710748173374,-9.876842817347999
35,2.1173,0.00020528,0.00020782,0.076956,0.022459,0.022459,2,3.2858,-0.1037,0.29849,0.033136,0.0073888,0.0073888,0.076956,0.022459,0.022459,0.037698,0.0077382,0.0077382,0.060712,0.0039941,0.0039941,0.23333443537100101,-9.931981137711999
