,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
10,0.50698,0.00016058,0.00016317,0.022647,0.0085578,0.0085578,2,-8.7386,-0.066087,0.15573,-0.0050344,0.012589,0.012589,0.022647,0.0085578,0.0085578,0.010602,0.015324,0.015324,0.01649,0.013289,0.013289,0.18518464404427074,-16.993865957082
11,0.55768,0.00016104,0.00016373,0.028687,0.0047747,0.0047747,2,-6.9837,-0.08591,0.20549,-0.0068247,0.015882,0.015882,0.028687,0.0047747,0.0047747,0.015487,0.012843,0.012843,0.019584,0.013179,0.013179,0.20370383898893232,-17.571758610215998
12,0.60838,0.00016283,0.00016388,0.044302,0.0041847,0.0041847,2,-2.4988,-0.071893,0.17941,0.019843,0.025583,0.025583,0.044302,0.0041847,0.0041847,0.023947,0.019484,0.019484,0.033828,0.017079,0.017079,0.2222230339335939,-9.797492756107
13,0.65908,0.000163,0.00016387,0.047691,0.0018183,0.0018183,2,-1.5025,-0.06419,0.16766,0.026257,0.023094,0.023094,0.047691,0.0018183,0.0018183,0.025219,0.020283,0.020283,0.037953,0.014489,0.014489,0.2407422288782555,-7.902523262699999
14,0.70978,0.0001622,0.00016307,0.042707,0.0022329,0.0022329,2,-2.9175,-0.062521,0.1631,0.021747,0.022891,0.022891,0.042707,0.0022329,0.0022329,0.021278,0.020164,0.020164,0.033401,0.014521,0.014521,0.25926142382291706,-9.16931499638
15,0.76048,0.00016106,0.00016203,0.03769,0.0020301,0.0020301,2,-4.3039,-0.066165,0.17077,0.013671,0.021857,0.021857,0.03769,0.0020301,0.0020301,0.017134,0.01677,0.01677,0.027316,0.014081,0.014081,0.27778061876757865,-11.465969716874
16,0.81118,0.00015972,0.00016089,0.031619,0.0037699,0.0037699,2,-5.9814,-0.074737,0.17231,0.0067386,0.01454,0.01454,0.031619,0.0037699,0.0037699,0.015833,0.0073164,0.0073164,0.021933,0.0074606,0.0074606,0.29629981371224023,-13.402534570788
17,0.86187,0.00015797,0.00015967,0.034815,0.0040804,0.0040804,2,-4.8613,-0.073679,0.18194,0.0050629,0.0088801,0.0088801,0.034815,0.0040804,0.0040804,0.018757,0.0056629,0.0056629,0.025273,0.004889,0.004889,0.3148153559557293,-13.733043838213
18,0.91257,0.00015506,0.00015783,0.033759,0.00038654,0.00038654,2,-4.8957,-0.071226,0.1845,0.0016601,0.0048471,0.0048471,0.033759,0.00038654,0.00038654,0.011677,0.013696,0.013696,0.026254,0.0053161,0.0053161,0.3333345509003909,-14.466305919473998
19,0.96327,0.00015055,0.02091,0.0081926,0.012777,0.012777,3,-12.083,-0.045644,0.16073,0.006877,0.0056365,0.0056365,0.034328,0.0072221,0.0072221,0.0081926,0.012777,0.012777,0.028358,0.0033866,0.0033866,0.3518537458450524,-12.476520868095
20,1.014,0.00014501,0.0041336,0.020159,0.0048633,0.0048633,3,-7.9836,-0.0143,0.10991,0.024649,0.0074138,0.0074138,0.039808,0.017479,0.017479,0.020159,0.0048633,0.0048633,0.034422,0.011375,0.011375,0.3703838988932316,-6.645936123828999
21,1.0647,0.00014107,0.00014392,0.02801,0.0026256,0.0035171,4,-5.2589,-0.016916,0.073367,0.027013,0.0025202,0.0025202,0.031878,0.0099166,0.0099166,0.019958,0.0036301,0.0036301,0.02801,0.0026256,0.0026256,0.3889030938378931,-5.561311912203001
22,1.1154,0.00013919,0.00013971,0.020202,0.00058729,0.00058729,2,-7.4063,-0.031253,0.086247,0.0082049,0.0087358,0.0087358,0.020202,0.00058729,0.00058729,0.0074531,0.0096904,0.0096904,0.015258,0.0050797,0.0050797,0.4074222887825547,-10.984733286350998
23,1.1661,0.00013492,0.00013546,0.0098473,0.0056963,0.0056963,2,-10.081,-0.032329,0.07492,-0.001137,0.00097384,0.00097384,0.0098473,0.0056963,0.0056963,-0.0036408,0.007976,0.007976,0.0060081,0.0015546,0.0015546,0.4259414837272163,-13.356627114867997
24,1.2168,0.0001314,0.00014062,-0.013487,0.0018942,0.0018942,1,-16.7,-0.036935,0.047221,-0.013487,0.0018942,0.0018942,-0.0086656,0.0049852,0.0049852,-0.016962,0.0035865,0.0035865,-0.011397,0.00096739,0.00096739,0.44446067867187794,-16.69729874306
25,1.2675,0.00013022,0.00013845,-0.014989,0.0025445,0.0015079,1,-17.032,-0.036909,0.043777,-0.014989,0.0015079,0.0015079,-0.011396,0.0054513,0.0054513,-0.019544,0.0043131,0.0043131,-0.013839,0.0013952,0.0013952,0.4629798736165395,-17.031042050238
26,1.3182,0.0001294,0.00013733,-0.014702,0.0029275,0.00092094,1,-16.871,-0.036291,0.04007,-0.014702,0.00074845,0.00074845,-0.011341,0.0056311,0.0056311,-0.018977,0.0028143,0.0028143,-0.013699,0.0019242,0.0019242,0.48149906856120106,-16.866398077259998
27,1.3689,0.00012869,0.00013653,-0.014919,0.0028067,0.0010803,1,-16.868,-0.038793,0.0398,-0.014919,0.00074087,0.00074087,-0.011749,0.0056663,0.0056663,-0.019644,0.0038566,0.0038566,-0.014056,0.0019435,0.0019435,0.5000182635058626,-16.862559490901
28,1.4196,0.000128,0.00013589,-0.014914,0.0026682,0.0011114,1,-16.798,-0.037835,0.04145,-0.014914,0.00093231,0.00093231,-0.011866,0.005841,0.005841,-0.019766,0.0044082,0.0044082,-0.014135,0.0018898,0.0018898,0.5185374584505242,-16.794494611199998
29,1.4703,0.00012729,0.00013536,-0.014624,0.0028243,0.0010187,1,-16.644,-0.035296,0.041718,-0.014624,0.00087731,0.00087731,-0.011301,0.0057952,0.0057952,-0.019683,0.0045709,0.0045709,-0.013722,0.0019215,0.0019215,0.5370566533951857,-16.639570024841
30,1.521,0.00012647,0.00013485,-0.014014,0.0029675,0.0010903,1,-16.383,-0.035527,0.042768,-0.014014,0.00083966,0.00083966,-0.010609,0.0060066,0.0060066,-0.019128,0.0044923,0.0044923,-0.013075,0.0020289,0.0020289,0.5555758483398473,-16.378672051863
31,1.5717,0.0001255,0.00013452,-0.01331,0.0034262,0.0017204,1,-16.079,-0.037683,0.046224,-0.01331,0.00055793,0.00055793,-0.0097076,0.0068739,0.0068739,-0.019243,0.0045638,0.0045638,-0.012457,0.0025733,0.0025733,0.574095043284509,-16.07528927895
32,1.6224,0.00012414,0.00013453,-0.012013,0.0040852,0.0019974,1,-15.559,-0.037172,0.055766,-0.012013,0.00079041,0.00079041,-0.0075688,0.008288,0.008288,-0.019358,0.0056962,0.0056962,-0.010969,0.0030413,0.0030413,0.5926142382291706,-15.557563226205998
33,1.6731,0.00012194,0.00012478,-0.0058972,0.0033318,0.0033318,4,-13.525,-0.047638,0.074133,-0.0064205,0.0020228,0.0020228,-0.0016176,0.010746,0.010746,-0.01631,0.0066773,0.0066773,-0.0058972,0.0033318,0.0033318,0.6111334331738321,-13.678730493825999
34,1.7238,0.00011878,0.0036252,0.0017124,0.00071325,0.00071325,3,-10.95,-0.10133,0.16528,0.014649,0.01271,0.01271,0.021538,0.019607,0.019607,0.0017124,0.00071325,0.00071325,0.012522,0.00068256,0.00068256,0.6296526281184937,-7.095125841861999
35,1.7745,0.00011504,0.00012145,0.016715,0.034146,0.034146,2,-6.1156,-0.12151,0.23329,-0.027992,0.031123,0.031123,0.016715,0.034146,0.034146,0.014715,0.034979,0.034979,0.0096686,0.038738,0.038738,0.6481718230631552,-19.441288696816
36,1.8251,9.9222e-05,0.096686,0.042244,0.0063616,0.0063616,3,3.0239,0.012709,0.13702,0.031886,0.015342,0.015342,0.047871,0.0031195,0.0031195,0.042244,0.0063616,0.0063616,0.048036,0.0027459,0.0027459,0.6666544909960916,-0.0714397010038006
37,1.8758,9.0441e-05,0.00047887,0.00052492,0.0032895,0.0032895,3,-8.5697,-0.010939,0.034127,0.0013134,0.00044558,0.00044558,0.0066839,0.0027206,0.0027206,0.00052492,0.0032895,0.0032895,0.0050188,0.001178,0.001178,0.6851736859407532,-8.3348367928089
38,1.9265,8.9187e-05,0.00025357,-0.002325,0.002274,0.002274,3,-9.2985,-0.0093413,0.021993,-0.00050276,0.00021299,0.00021299,0.0019606,0.0026803,0.0026803,-0.002325,0.002274,0.002274,0.00070556,0.00098618,0.00098618,0.7036928808854148,-8.7550598653523
39,1.9772,8.886e-05,9.2325e-05,-0.0014428,0.00036417,0.00036417,1,-9.0041,-0.010808,0.018088,-0.0014428,0.00036417,0.00036417,-0.00022984,0.0026479,0.0026479,-0.0037137,0.0019295,0.0019295,-0.0012245,0.0008921,0.0008921,0.7222120758300764,-9.003641081493999
40,2.0279,8.8753e-05,0.00019808,-0.0047131,0.0018718,0.0018718,3,-9.9691,-0.011567,0.017181,-0.0019103,0.0004325,0.0004325,-0.0014355,0.0028293,0.0028293,-0.0047131,0.0018718,0.0018718,-0.002314,0.00091159,0.00091159,0.7407312707747379,-9.132632150873699
41,2.0786,8.8701e-05,0.00020114,-0.0054522,0.002375,0.002375,3,-10.184,-0.012911,0.017259,-0.0021403,0.00064619,0.00064619,-0.0023197,0.0029,0.0029,-0.0054522,0.002375,0.002375,-0.0030692,0.00077208,0.00077208,0.7592504657193995,-9.1961549135629
42,2.1293,8.8656e-05,0.00020445,-0.0061142,0.0021051,0.0021051,3,-10.379,-0.013541,0.017005,-0.002204,0.00074619,0.00074619,-0.0026464,0.0030414,0.0030414,-0.0061142,0.0021051,0.0021051,-0.0034743,0.00083217,0.00083217,0.7777696606640612,-9.210795673582398
43,2.18,8.8605e-05,0.00020736,-0.0066849,0.0023883,0.0023883,3,-10.543,-0.014304,0.01845,-0.0022496,0.00093962,0.00093962,-0.0034855,0.0032546,0.0032546,-0.0066849,0.0023883,0.0023883,-0.0040953,0.00069392,0.00069392,0.7962888556087228,-9.2194637216045
44,2.2307,8.8535e-05,0.00022827,-0.0073784,0.0030515,0.0030515,3,-10.742,-0.016174,0.020281,-0.0020803,0.0012082,0.0012082,-0.0039496,0.0035265,0.0035265,-0.0073784,0.0030515,0.0030515,-0.0045047,0.00060199,0.00060199,0.8148080505533843,-9.162258348301501
45,2.2814,8.8435e-05,0.0002434,-0.0084183,0.002855,0.002855,3,-11.042,-0.017049,0.023187,-0.0019606,0.0015832,0.0015832,-0.0040872,0.0041441,0.0041441,-0.0084183,0.002855,0.002855,-0.0048683,0.00072691,0.00072691,0.8333272454980459,-9.1169392150115
46,2.3321,8.8289e-05,8.9064e-05,-0.0050234,0.00062335,0.00062335,4,-10.016,-0.023074,0.025526,-0.0017017,0.0018389,0.0018389,-0.0042812,0.0044256,0.0044256,-0.0088387,0.003441,0.003441,-0.0050234,0.00062335,0.00062335,0.8518464404427075,-9.0257001564081
47,2.3828,8.805e-05,8.8987e-05,-0.0054579,0.00039658,0.00039658,4,-10.122,-0.023035,0.030853,-0.0016117,0.0024878,0.0024878,-0.0046078,0.0049636,0.0049636,-0.0098031,0.0037691,0.0037691,-0.0054579,0.00039658,0.00039658,0.870365635387369,-8.975820161844998
48,2.4335,8.7646e-05,8.884e-05,-0.0056511,0.00037028,0.00037028,4,-10.141,-0.030027,0.037757,-0.0013964,0.003188,0.003188,-0.0044409,0.0058634,0.0058634,-0.010811,0.0039553,0.0039553,-0.0056511,0.00037028,0.00037028,0.8888848303320306,-8.872680687353398
49,2.4842,8.6853e-05,8.8518e-05,-0.0059633,0.0001235,0.0001235,4,-10.157,-0.041327,0.050287,-0.001897,0.0045506,0.0045506,-0.0038255,0.0069815,0.0069815,-0.012332,0.0042214,0.0042214,-0.0059633,0.0001235,0.0001235,0.9074040252766922,-8.945346618363699
50,2.5349,8.4808e-05,8.7448e-05,-0.0061614,0.00010562,0.00010562,4,-10.018,-0.05654,0.072665,-0.0036133,0.0059817,0.0059817,-0.0025398,0.0088788,0.0088788,-0.013946,0.0044107,0.0044107,-0.0061614,0.00010562,0.00010562,0.9259232202213538,-9.2594915125832
51,2.5856,7.784e-05,8.2315e-05,-0.0053196,0.00063294,0.00063294,4,-9.0936,-0.075046,0.11329,-0.0065918,0.0075604,0.0075604,0.0010355,0.012138,0.012138,-0.016439,0.0055184,0.0055184,-0.0053196,0.00063294,0.00063294,0.9444424151660153,-9.474774712936
52,2.6363,6.9731e-05,7.4719e-05,0.0021483,0.0038064,0.0038064,4,-6.089,-0.084159,0.14285,0.0064975,0.0079363,0.0079363,0.0095579,0.020479,0.020479,-0.017445,0.012075,0.012075,0.0021483,0.0038064,0.0038064,0.9629616101106768,-4.7917637484499
53,2.687,6.1476e-05,6.6836e-05,0.0059054,0.0055245,0.0055245,4,-4.1753,-0.070626,0.1523,0.0079698,0.0063558,0.0063558,0.014015,0.022376,0.022376,-0.015864,0.013902,0.013902,0.0059054,0.0055245,0.0055245,0.9814808050553384,-3.5565319253603995
54,2.7377,4.9097e-05,5.6099e-05,0.016731,0.0064157,0.0064157,4,0.24561,-0.067461,0.1871,0.012603,0.0065404,0.0065404,0.027744,0.024444,0.024444,-0.010412,0.01486,0.01486,0.016731,0.0064157,0.0064157,1.0,-0.9814463893912997
