,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
0,-0.0,0.0023378,0.0021064,0.099125,0.074903,0.070496,3,-195.99,0.057382,0.051407,0.12158,0.069996,0.069996,0.096574,0.067945,0.067945,0.099125,0.057714,0.057714,0.10431,0.069713,0.069713,-0.0,-189.33257125362
1,0.050698,0.00062249,0.0006658,0.19092,0.027771,0.027771,4,-3.1266,-0.17692,0.81074,0.10756,0.0046881,0.0046881,0.23202,0.069485,0.069485,0.096859,0.046802,0.046802,0.19092,0.027771,0.027771,0.018518464404427074,-28.008274876920993
2,0.1014,0.00036796,0.00040151,0.1346,0.01082,0.01082,4,4.6288,-0.091537,0.51194,0.068327,0.0091406,0.0091406,0.15584,0.027857,0.027857,0.081885,0.026741,0.026741,0.1346,0.01082,0.01082,0.03703838988932316,-15.141297093883999
3,0.15209,0.00028845,0.0003433,0.12046,0.0051517,0.0051517,4,8.0944,-0.15909,0.6198,0.029656,0.0098467,0.0098467,0.13965,0.0070995,0.0070995,0.079425,0.026201,0.026201,0.12046,0.0051517,0.0051517,0.05555393213281222,-18.993706275004996
4,0.20279,0.00022337,0.0026921,0.044072,0.0097825,0.014128,3,-8.4038,0.014851,0.11448,0.041899,0.011955,0.011955,0.060593,0.010758,0.010758,0.044072,0.0053946,0.0053946,0.057247,0.0092832,0.0092832,0.0740731270774738,-9.066026809872998
5,0.25349,0.00021605,0.00021645,0.0068449,0.0047664,0.0047664,2,-18.805,-0.025265,0.055701,-0.0011272,0.00085043,0.00085043,0.0068449,0.0047664,0.0047664,0.00072736,0.00015452,0.00015452,0.0038457,0.001325,0.001325,0.09259232202213537,-21.181561773044997
6,0.30419,0.00021349,0.00021427,0.016401,0.0066062,0.0066062,2,-15.709,-0.027358,0.086733,0.0028006,0.00027482,0.00027482,0.016401,0.0066062,0.0066062,0.0035148,0.0039118,0.0039118,0.012122,0.0024198,0.0024198,0.11111151696679696,-19.764074920821
7,0.35489,0.00020019,0.00020449,0.028632,0.0043544,0.0043544,2,-10.781,-0.034604,0.14947,0.0027952,0.0077837,0.0077837,0.028632,0.0043544,0.0043544,0.010629,0.0090682,0.0090682,0.025129,0.002405,0.002405,0.12963071191145853,-18.482429193251
8,0.40559,0.00018247,0.00018745,0.026022,0.0020873,0.0020873,2,-9.8498,-0.038333,0.15957,-0.001948,0.0062616,0.0062616,0.026022,0.0020873,0.0020873,0.010507,0.0074099,0.0074099,0.022365,3.4286e-05,3.4286e-05,0.14814990685612012,-18.186182694263
9,0.45629,0.00016715,0.01139,0.024679,0.0006137,0.0006137,3,-8.7695,-0.013,0.15268,0.019269,0.020806,0.020806,0.045187,0.017533,0.017533,0.024679,0.0006137,0.0006137,0.041443,0.015583,0.015583,0.16666910180078168,-10.385361394234998
