,OCV,Cap (mAh/g),deltaH (kJ/mol),deltaS (J/mol/K)
0,1.9128999999999998,-0.0,144067.60669559005,1102.8
1,0.67144,12.333094213295073,-46863.285922375995,60.137
2,0.47426,24.665231946437114,-14677.733981153991,104.3
3,0.45769000000000004,36.999043519846964,-10495.312015001005,112.97
4,0.44316,49.33285509325681,-13837.242127964,97.051
5,0.42191,61.66666666666667,-23694.710803839,57.092
6,0.39481,73.99808703969393,-25189.378282248996,43.302
7,0.36796,86.33189861310379,-15203.579093883998,68.118
8,0.34767000000000003,98.66571018651362,-19002.953689343,48.799
9,0.33221,110.99713055954089,-35411.554442709,-11.269
10,0.31969000000000003,123.33094213295072,-58166.036074801,-91.67999999999999
11,0.30901,135.6647537063606,-79953.43271942901,-168.25
12,0.29985,147.99617407938786,-86522.60707006499,-193.26
13,0.29166000000000003,160.3299856527977,-75147.43219361399,-157.73999999999998
14,0.2842,172.66379722620758,-56882.90161018,-98.865
15,0.27737999999999996,184.9952175992348,-36237.713639801994,-31.794000000000004
16,0.27103,197.32902917264468,-16371.549775886997,32.815
17,0.26504,209.6628407460545,-368.2286318160024,84.578
18,0.25951,221.99426111908178,10449.911259120998,119.09
19,0.25433999999999996,234.32807269249165,17856.380430214005,142.27
20,0.24958,246.65231946437115,21486.370614818,152.91
21,0.24519,258.99091343854616,22723.481226249,155.64
22,0.24111,271.3295074127212,20444.081384481,146.67
23,0.23744,283.6681013868962,15824.562556224002,129.98000000000002
24,0.23428000000000002,295.98278335724535,10473.416208188002,111.0
25,0.23167000000000001,308.3213773314204,5469.714927057002,93.364
26,0.22944,320.6599713055954,593.5472194239999,76.279
27,0.22763,332.99856527977045,-4383.042328026999,58.992999999999995
28,0.22614,345.33715925394546,-8014.343182006,46.324999999999996
29,0.22486,357.6518412242946,-11843.811955894,33.06
30,0.22380999999999998,369.9904351984696,-14525.226356348998,23.722
31,0.22287,382.32902917264465,-16951.438143423,15.276
32,0.22208,394.6676231468197,-18565.381330431996,9.6043
33,0.22138,406.98230511716883,-19210.538397401997,7.2127
34,0.22075,419.32089909134385,-19037.287437674997,7.5901
35,0.22016,431.65949306551886,-18252.376891264,10.033
36,0.21959,443.9980870396939,-16957.998251510995,14.192
37,0.219,456.3127690100431,-15784.465905100002,17.939
