~Resultfile from Basytec Battery Test System
~Date and Time of Data Converting: 08.10.2024 11:53:02
~
~Name of Test: Gr-SiOx-60-2_discharge_entropy_37mAg_20mins
~Battery: Gr-SiOx-60-2
~Testplan: discharge_entropy_37mAg_20mins.pln
~Testchannel: 1413 CH01 CTS
~Start of Test: 27.09.2024 10:54:45
~End of Test: 06.10.2024 23:33:16
~Opperator (Test): basytec
~Opperator (Data converting): basytec
~
~Time[h],DataSet,t-Step[h],t-Set[h],Line,U[V],I[A],I[A/kg],Ah[Ah],Ah[Ah/kg],Ah-Ch[Ah/kg],Ah-Dis[Ah/kg],Ah-Step,Ah-Step[Ah/kg],Wh[Wh/kg],Wh-Ch[Wh/kg],Wh-Dis[Wh/kg],dU/dt[mV/s],Cyc-Count,Count,State,MEM01[C],MEM02[C],MEM03[C],MEM04[C],OCV02[V]
0.00138944412783901,1,5.55471745907556E-7,0.00138944412783901,3,2.53108980754682,0,0,0,0,0,0,0,0,0,0,0,0.0213123538310259,1,1,0,25.5420000085337,25.8679999764394,26.5560000234079,26.7459999754773,2.53158939910661
0.00166671741807731,2,0.000277828761984212,0.00166671741807731,3,2.53108980754682,0,0,0,0,0,0,0,0,0,0,0,0.0412150181945485,1,1,1,25.528999984045,25.870000019609,26.5659999831421,26.7649999758066,2.53160029930603
0.00194444979896228,3,0.000555561142869177,0.00194444979896228,3,2.53108980754682,0,0,0,0,0,0,0,0,0,0,0,0.0476351139708289,1,1,1,25.5499999763211,25.8779999873964,26.5720000102054,26.7570000080192,2.53164380021936
0.0022222315344198,4,0.000833342878326703,0.0022222315344198,3,2.53108980754682,0,0,0,0,0,0,0,0,0,0,0,0.0327164093591447,1,1,1,25.5529999898528,25.8810000009281,26.5659999831421,26.7520000025406,2.53165470041877
0.00249999953440666,5,0.00111111087831356,0.00249999953440666,3,2.53108980754682,0,0,0,0,0,0,0,0,0,0,0,0.0159069570671499,1,1,1,25.5529999898528,25.8919999822471,26.5689999966738,26.748999989009,2.53166560061819
0.00277777754499079,6,0.00138888888889769,0.00277777754499079,3,2.53108980754682,0,0,0,0,0,0,0,0,0,0,0,0.00813591319738837,1,1,1,25.5400000165869,25.8890000199382,26.5609999776636,26.7729999948167,2.53167650081761
0.00305555485716115,7,0.00166666620106805,0.00305555485716115,3,2.53089904105545,0,0,0,0,0,0,0,0,0,0,0,0.0116191990451322,1,1,1,25.571999990182,25.8810000009281,26.5659999831421,26.7649999758066,2.53170919885473
0.00333333356615904,8,0.00194444491006594,0.00333333356615904,3,2.53108980754682,0,0,0,0,0,0,0,0,0,0,0,0.00226726177371274,1,1,1,25.5610000088629,25.8729999819179,26.5580000153547,26.7810000138269,2.53173099925356
0.0036111108783294,9,0.0022222222222363,0.0036111108783294,3,2.53108980754682,0,0,0,0,0,0,0,0,0,0,0,0.00303742070483534,1,1,1,25.5560000033844,25.870000019609,26.5799999779928,26.7889999816143,2.53173099925356
0.00388888842330435,10,0.00249999976721125,0.00388888842330435,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.0190470069743518,1,1,1,25.5610000088629,25.8919999822471,26.5720000102054,26.7620000134977,2.5317527996524
0.00416666689949765,11,0.00277777824340455,0.00416666689949765,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.0325373904932921,1,1,1,25.5640000223946,25.8890000199382,26.5770000156839,26.7520000025406,2.53178540036631
0.0044444444444726,12,0.0030555557883795,0.0044444444444726,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.0476759482828143,1,1,1,25.5579999953313,25.8840000144597,26.5799999779928,26.758999999966,2.53177450016689
0.00472222175664297,13,0.00333333310054987,0.00472222175664297,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.0401095417636111,1,1,1,25.571999990182,25.8969999877256,26.5659999831421,26.7520000025406,2.53180720076515
0.0049999995344225,14,0.0036111108783294,0.0049999995344225,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.0263082171212124,1,1,1,25.5900000201492,25.8860000064066,26.5820000211624,26.7729999948167,2.53182900116398
0.00527777754500663,15,0.00388888888891353,0.00527777754500663,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.0115184847598043,1,1,1,25.5660000143414,25.9080000202674,26.5899999889499,26.7570000080192,2.53183989880227
0.00555555508998158,16,0.00416666643388848,0.00555555508998158,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.00449016992845013,1,1,1,25.5979999879366,25.8969999877256,26.5799999779928,26.7749999867636,2.53183989880227
0.00583333263495653,17,0.00444444397886343,0.00583333263495653,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.00187434149919605,1,1,1,25.5850000146707,25.9080000202674,26.5849999834714,26.7810000138269,2.53188349959994
0.00611111064554066,18,0.00472222198944755,0.00611111064554066,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,4.65790631012934E-6,1,1,1,25.582000001139,25.8940000254167,26.5770000156839,26.7570000080192,2.53189439979936
0.00638888842332019,19,0.00499999976722709,0.00638888842332019,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,7.97019524177688E-6,1,1,1,25.5900000201492,25.9050000067358,26.5689999966738,26.7649999758066,2.53190520011443
0.00666666689951349,20,0.00527777824342039,0.00666666689951349,3,2.5312805740382,0,0,0,0,0,0,0,0,0,0,0,0.00266872154313133,1,1,1,25.5929999824581,25.9100000122143,26.5930000024815,26.7670000189762,2.53193790071268
