~Resultfile from Basytec Battery Test System
~Date and Time of Data Converting: 13.03.2023 14:43:22
~
~Name of Test: AMTEGr15SiOx_1A_SEI_dch_ent_37mAg_20mins
~Battery: AMTEGr15SiOx_1A
~Testplan: discharge_entropy_37mAg_20mins.pln
~Testchannel: 1536 CH06 CTS
~Start of Test: 03.03.2023 16:13:10
~End of Test: 07.03.2023 12:02:47
~Operator (Test): basytec
~Operator (Data converting): basytec
~
~Time[h],DataSet,t-Step[h],t-Set[h],Line,U[V],I[A],I[A/kg],Ah[Ah],Ah[Ah/kg],Ah-Ch[Ah/kg],Ah-Dis[Ah/kg],Ah-Step,Ah-Step[Ah/kg],Wh[Wh/kg],Wh-Ch[Wh/kg],Wh-Dis[Wh/kg],dU/dt[mV/s],Cyc-Count,Count,State,MEM01[C],MEM02[C],MEM03[C],MEM04[C],OCV07[V]
0.001389444127839,1,0.000000555937355,0.001389444127839,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.000312577067548595,1,1,0,26.9409999842481,25.2609999874891,27.0839999975096,25.5979999879366,2.32748320085345
0.001666701820170,2,0.000277813629686,0.001666701820170,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.000217282966518388,1,1,1,26.9409999842481,25.2609999874891,27.0839999975096,25.5979999879366,2.32748320085345
0.001944443746043,3,0.000555555555559,0.001944443746043,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,9.53458350698545E-5,1,1,1,26.9409999842481,25.2609999874891,27.0839999975096,25.5979999879366,2.32748320085345
0.002222221989432,4,0.000833333798948,0.002222221989432,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,-2.43149986342006E-5,1,1,1,26.9409999842481,25.2609999874891,27.0839999975096,25.5979999879366,2.32752770061024
0.002499999534407,5,0.001111111343923,0.002499999534407,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,-0.000168187362893162,1,1,1,26.919999991972,25.2480000142232,27.0639999755956,25.5900000201492,2.32752770061024
0.002777777079382,6,0.001388888888898,0.002777777079382,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,-0.000298867547042078,1,1,1,26.919999991972,25.2480000142232,27.0639999755956,25.5900000201492,2.32752770061024
0.003055554158747,7,0.001666665968263,0.003055554158747,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,3.20751045812858E-6,1,1,1,26.919999991972,25.2480000142232,27.0639999755956,25.5900000201492,2.32752770061024
0.003333356381009,8,0.001944468190525,0.003333356381009,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,26.919999991972,25.2480000142232,27.0639999755956,25.5900000201492,2.32752770061024
0.003611110412720,9,0.002222222222236,0.003611110412720,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,4.65606356825117E-7,1,1,1,26.919999991972,25.2480000142232,27.0639999755956,25.5900000201492,2.32754990054646
0.003888956867853,10,0.002500068677369,0.003888956867853,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.00150835765995479,1,1,1,26.9149999864935,25.2509999765321,27.0520000239145,25.5929999824581,2.32754990054646
0.004166710201151,11,0.002777822010667,0.004166710201151,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.000744142426285832,1,1,1,26.9149999864935,25.2509999765321,27.0520000239145,25.5929999824581,2.32754990054646
0.004444443746059,12,0.003055555555575,0.004444443746059,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.00127327818379775,1,1,1,26.9149999864935,25.2509999765321,27.0520000239145,25.5929999824581,2.32754990054646
0.004722250391607,13,0.003333362201123,0.004722250391607,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,-0.00029788460028878,1,1,1,26.9149999864935,25.2509999765321,27.0520000239145,25.5929999824581,2.32754990054646
0.004999998836009,14,0.003611110645525,0.004999998836009,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,-0.00104290650524861,1,1,1,26.9149999864935,25.2509999765321,27.0520000239145,25.5929999824581,2.32757220036703
0.005277776846593,15,0.003888888656109,0.005277776846593,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.000195192531589019,1,1,1,26.9230000055036,25.2480000142232,27.0490000103829,25.5959999959897,2.32757220036703
0.005555554857177,16,0.004166666666693,0.005555554857177,3,2.32776529472937,0,0,0,0,0,0,0,0,0,0,0,0.00681321781942194,1,1,1,26.9230000055036,25.2480000142232,27.0490000103829,25.5959999959897,2.32757220036703
0.005833332402152,17,0.004444444211668,0.005833332402152,3,2.32776529472937,0,0,0,0,0,0,0,0,0,0,0,0.0208806861462585,1,1,1,26.9230000055036,25.2480000142232,27.0490000103829,25.5959999959897,2.32757220036703
0.006111110412736,18,0.004722222222252,0.006111110412736,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.0199091208816834,1,1,1,26.9230000055036,25.2480000142232,27.0490000103829,25.5959999959897,2.32757220036703
0.006388888656125,19,0.005000000465641,0.006388888656125,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.0164703592663317,1,1,1,26.9230000055036,25.2480000142232,27.0490000103829,25.5959999959897,2.32760550027136
0.006666665502686,20,0.005277777312202,0.006666665502686,3,2.32757460370825,0,0,0,0,0,0,0,0,0,0,0,0.00652386933567495,1,1,1,26.9219999839189,25.2580000251802,27.0839999975096,25.625000007276,2.32760550027136
