~Resultfile from Basytec Battery Test System
~Date and Time of Data Converting: 10.03.2023 11:05:44
~
~Name of Test: AMTEGr10SiOx_1A_SEI_dch_ent_37mAg_20mins
~Battery: AMTEGr10SiOx_1A
~Testplan: discharge_entropy_37mAg_20mins.pln
~Testchannel: 1536 CH00 CTS
~Start of Test: 03.03.2023 16:12:36
~End of Test: 06.03.2023 17:42:03
~Operator (Test): basytec
~Operator (Data converting): basytec
~
~Time[h],DataSet,t-Step[h],t-Set[h],Line,Command,U[V],I[A],I[A/kg],Ah[Ah],Ah[Ah/kg],Ah-Ch[Ah/kg],Ah-Dis[Ah/kg],Ah-Step,Ah-Step[Ah/kg],Wh[Wh/kg],Wh-Ch[Wh/kg],Wh-Dis[Wh/kg],dU/dt[mV/s],Cyc-Count,Count,State,MEM01[C],MEM02[C],MEM03[C],MEM04[C],OCV01[V]
0.001389444826253,1,0.000000556170160,0.001389444826253,3,pause,2.48566703426057,0,0,0,0,0,0,0,0,0,0,0,0.00124960252439602,1,1,0,26.8989999996959,25.2019999945546,27.0160000152029,25.6189999802127,2.4858481003837
0.001666666201068,2,0.000277777544975,0.001666666201068,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.00165033445011143,1,1,1,26.8989999996959,25.2019999945546,27.0160000152029,25.6189999802127,2.4858481003837
0.001944463534433,3,0.000555574878340,0.001944463534433,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.00190605141316965,1,1,1,26.8989999996959,25.2019999945546,27.0160000152029,25.6189999802127,2.4858481003837
0.002222221756627,4,0.000833333100534,0.002222221756627,3,pause,2.48566703426057,0,0,0,0,0,0,0,0,0,0,0,-0.0329304034722654,1,1,1,26.8880000183769,25.2019999945546,27.0459999968512,25.6169999882658,2.4858481003837
0.002499999301602,5,0.001111110645509,0.002499999301602,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.0177005201314447,1,1,1,26.8880000183769,25.2019999945546,27.0459999968512,25.6169999882658,2.4858481003837
0.002777777312186,6,0.001388888656093,0.002777777312186,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,0.00182614309684463,1,1,1,26.8880000183769,25.2019999945546,27.0459999968512,25.6169999882658,2.4858481003837
0.003055555089966,7,0.001666666433873,0.003055555089966,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,0.0188039173490932,1,1,1,26.8880000183769,25.2019999945546,27.0459999968512,25.6169999882658,2.4858481003837
0.003333333566159,8,0.001944444910066,0.003333333566159,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,0.0303938319698551,1,1,1,26.8880000183769,25.2019999945546,27.0459999968512,25.6169999882658,2.48583700041558
0.003611110878329,9,0.002222222222236,0.003611110878329,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,0.00583123692809065,1,1,1,26.9079999890681,25.2419999871599,27.0569999781703,25.6110000124252,2.48583700041558
0.003888888656109,10,0.002500000000016,0.003888888656109,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.000407459957530333,1,1,1,26.9079999890681,25.2419999871599,27.0569999781703,25.6110000124252,2.48583700041558
0.004166666433888,11,0.002777777777795,0.004166666433888,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,0.0021155002189775,1,1,1,26.9079999890681,25.2419999871599,27.0569999781703,25.6110000124252,2.48583700041558
0.004444444211668,12,0.003055555555575,0.004444444211668,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,0.00375677770318422,1,1,1,26.9079999890681,25.2419999871599,27.0569999781703,25.6110000124252,2.48583700041558
0.004722221756643,13,0.003333333100550,0.004722221756643,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.000880647610483443,1,1,1,26.9079999890681,25.2419999871599,27.0569999781703,25.6110000124252,2.48583700041558
0.004999999301618,14,0.003611110645525,0.004999999301618,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.000328172690295928,1,1,1,26.9380000219392,25.2469999926384,27.0619999836488,25.6300000127545,2.48583700041558
0.005277776148179,15,0.003888887492086,0.005277776148179,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.000330656886658364,1,1,1,26.9380000219392,25.2469999926384,27.0619999836488,25.6300000127545,2.48583700041558
0.005555554857177,16,0.004166666201084,0.005555554857177,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.00540918231693101,1,1,1,26.9380000219392,25.2469999926384,27.0619999836488,25.6300000127545,2.48583700041558
0.005833333333370,17,0.004444444677277,0.005833333333370,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.0238169221003066,1,1,1,26.9380000219392,25.2469999926384,27.0619999836488,25.6300000127545,2.48583700041558
0.006111110179931,18,0.004722221523838,0.006111110179931,3,pause,2.48566703426057,0,0,0,0,0,0,0,0,0,0,0,-0.02400561751567,1,1,1,26.9380000219392,25.2469999926384,27.0619999836488,25.6300000127545,2.48583700041558
0.006388888423320,19,0.004999999767227,0.006388888423320,3,pause,2.48585779919029,0,0,0,0,0,0,0,0,0,0,0,-0.010059390891047,1,1,1,26.9190000216099,25.25000000617,27.0590000213399,25.6329999750634,2.48583700041558
0.006666712529213,20,0.005277823873120,0.006666712529213,3,pause,2.48566703426057,0,0,0,0,0,0,0,0,0,0,0,-0.000978773366799652,1,1,1,26.9190000216099,25.25000000617,27.0590000213399,25.6329999750634,2.48583700041558
