Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
6.3955,0.00011964,0.00012108,0.03423,0.0076904,0.0076904,2,-1.2691,-0.082541,0.1733,0.0088469,0.010957,0.010957,0.03423,0.0076904,0.0076904,0.01689,0.0047795,0.0047795,0.024472,0.0037925,0.0037925
6.4471,0.00011803,0.00012098,0.028777,0.0063769,0.0063769,2,-2.7502,-0.083756,0.18268,-0.0038612,0.01529,0.01529,0.028777,0.0063769,0.0063769,0.012719,0.015914,0.015914,0.020298,0.01369,0.01369
6.4987,0.00011629,0.00012195,0.015579,0.019641,0.019641,2,-6.5444,-0.087153,0.19246,-0.019748,0.017892,0.017892,0.015579,0.019641,0.019641,0.00015056,0.027254,0.027254,0.009464,0.0234,0.0234
6.5502,0.00011445,0.00012266,0.005578,0.020011,0.020011,2,-9.3684,-0.081154,0.19826,-0.028995,0.012447,0.012447,0.005578,0.020011,0.020011,-0.013298,0.029691,0.029691,0.0011956,0.022171,0.022171
6.6018,0.00011247,6.6322,-0.018847,0.026701,0.026701,3,-16.511,-0.068381,0.19322,-0.024129,0.0052235,0.0052235,0.0080948,0.0026845,0.0026845,-0.018847,0.026701,0.026701,0.0042255,0.0044452,0.0044452
6.6534,0.00011025,3.3113,-0.0023764,0.0043157,0.0043157,3,-11.351,-0.044922,0.18178,-0.0058606,0.025667,0.025667,0.023692,0.021163,0.021163,-0.0023764,0.0043157,0.0043157,0.019361,0.019043,0.019043
6.705,0.00010772,1.0384,0.022097,0.031368,0.03128,3,-3.7571,-0.012596,0.16328,0.022141,0.031324,0.031324,0.048156,0.032853,0.032853,0.022097,0.0047705,0.0047705,0.042722,0.029477,0.029477
6.7566,0.00010478,0.21742,0.037424,0.0011027,0.0011027,3,1.1291,0.0058429,0.13379,0.04273,0.020368,0.020368,0.061684,0.029026,0.029026,0.037424,0.0011027,0.0011027,0.0554,0.023399,0.023399
6.8081,0.00010167,0.036102,0.032143,0.0070672,0.0070672,3,-0.15688,0.0020666,0.10178,0.043557,0.0084355,0.0084355,0.051584,0.022744,0.022744,0.032143,0.0070672,0.0070672,0.046148,0.014463,0.014463
6.8597,9.9298e-05,0.0086465,0.019596,0.009026,0.009026,3,-3.6973,-0.0084014,0.079505,0.036685,0.00085215,0.00085215,0.034669,0.01735,0.01735,0.019596,0.009026,0.009026,0.031305,0.007552,0.007552
6.9113,9.7994e-05,0.00010056,0.023176,0.016533,0.012644,4,-2.4963,-0.018769,0.071961,0.032608,0.0028361,0.0028361,0.02512,0.014588,0.014588,0.012137,0.0081249,0.0081249,0.023176,0.0040525,0.0040525
6.9629,9.7275e-05,9.9991e-05,0.020698,0.01555,0.012329,4,-3.1724,-0.02619,0.075249,0.031948,0.0051566,0.0051566,0.022308,0.013939,0.013939,0.0094916,0.0072551,0.0072551,0.020698,0.0023097,0.0023097
7.0144,9.6651e-05,9.968e-05,0.019343,0.015155,0.011371,4,-3.5196,-0.033621,0.081503,0.031117,0.0075873,0.0075873,0.021235,0.013263,0.013263,0.0080454,0.0068585,0.0068585,0.019343,0.00058458,0.00058458
7.066,9.6004e-05,0.0033118,0.0065971,0.0065776,0.0065776,3,-7.2828,-0.04099,0.08697,0.029313,0.0096689,0.0096689,0.020038,0.012461,0.012461,0.0065971,0.0065776,0.0065776,0.01768,0.00092994,0.00092994
7.1176,9.5375e-05,0.0034959,0.0049181,0.0067417,0.0067417,3,-7.7262,-0.046014,0.092348,0.027047,0.011479,0.011479,0.018795,0.01175,0.01175,0.0049181,0.0067417,0.0067417,0.015866,0.002224,0.002224
7.1692,9.4761e-05,0.0040322,0.0035815,0.0068,0.0068,3,-8.0682,-0.051173,0.098225,0.024892,0.012227,0.012227,0.017832,0.011739,0.011739,0.0035815,0.0068,0.0068,0.014442,0.0027034,0.0027034
7.2207,9.4133e-05,0.0051185,0.0021657,0.0069907,0.0069907,3,-8.4325,-0.055464,0.10447,0.022387,0.01299,0.01299,0.01738,0.011715,0.011715,0.0021657,0.0069907,0.0069907,0.01319,0.003053,0.003053
7.2723,9.3481e-05,0.0071185,0.0011247,0.0072705,0.0072705,3,-8.682,-0.05951,0.11257,0.02039,0.013285,0.013285,0.017535,0.012211,0.012211,0.0011247,0.0072705,0.0072705,0.012577,0.0029724,0.0029724
7.3239,9.2758e-05,9.792e-05,0.012251,0.0023218,0.0023218,4,-5.2731,-0.061762,0.1201,0.018349,0.012913,0.012913,0.01802,0.013053,0.013053,0.00014598,0.0073631,0.0073631,0.012251,0.0023218,0.0023218
7.3755,9.1953e-05,9.7616e-05,0.012823,0.001208,0.001208,4,-5.0233,-0.064836,0.12841,0.017089,0.012005,0.012005,0.019336,0.014318,0.014318,-0.00018179,0.0073956,0.0073956,0.012823,0.001208,0.001208
7.427,9.1031e-05,9.7198e-05,0.013903,0.00010486,0.00010486,4,-4.6092,-0.068631,0.13598,0.016347,0.010782,0.010782,0.021036,0.015623,0.015623,-0.00019468,0.0075807,0.0075807,0.013903,0.00010486,0.00010486
7.4786,8.9937e-05,9.6604e-05,0.015507,0.010554,0.0094384,4,-4.0225,-0.070262,0.14373,0.016064,0.009996,0.009996,0.023443,0.01646,0.01646,-7.2705e-05,0.008219,0.008219,0.015507,0.00099747,0.00099747
7.5302,8.8658e-05,9.5794e-05,0.017513,0.0080684,0.010163,4,-3.2969,-0.07007,0.1506,0.016465,0.0091156,0.0091156,0.025947,0.01735,0.01735,0.0005637,0.009026,0.009026,0.017513,0.0019024,0.0019024
7.5818,8.7167e-05,9.4729e-05,0.019414,0.0026404,0.0026404,4,-2.5822,-0.07096,0.15702,0.016945,0.0083959,0.0083959,0.0283,0.018078,0.018078,0.0011693,0.0097966,0.0097966,0.019414,0.0026404,0.0026404
7.6334,8.5476e-05,9.3406e-05,0.021073,0.0029547,0.0029547,4,-1.9209,-0.070157,0.16182,0.017302,0.0080138,0.0080138,0.030389,0.018263,0.018263,0.0017589,0.010487,0.010487,0.021073,0.0029547,0.0029547
7.6849,8.3573e-05,9.1834e-05,0.022766,0.0037081,0.0037081,4,-1.2295,-0.070493,0.16665,0.018023,0.0072843,0.0072843,0.032218,0.019094,0.019094,0.0027687,0.010804,0.010804,0.022766,0.0037081,0.0037081
7.7365,8.1504e-05,9.0071e-05,0.023944,0.00373,0.00373,4,-0.67633,-0.069966,0.17063,0.018106,0.0071709,0.0071709,0.033704,0.018995,0.018995,0.0033391,0.011161,0.011161,0.023944,0.00373,0.00373
7.7881,7.9268e-05,8.8133e-05,0.025038,0.0039397,0.0039397,4,-0.13222,-0.070796,0.17343,0.0182,0.0067951,0.0067951,0.034944,0.019004,0.019004,0.0040815,0.011255,0.011255,0.025038,0.0039397,0.0039397
7.8397,7.6888e-05,8.6038e-05,0.025741,0.0038494,0.0038494,4,0.30766,-0.06981,0.17468,0.017962,0.006624,0.006624,0.035696,0.018589,0.018589,0.0047054,0.011367,0.011367,0.025741,0.0038494,0.0038494
7.8912,7.4391e-05,8.3813e-05,0.026676,0.003452,0.003452,4,0.82991,-0.070514,0.17684,0.017794,0.006688,0.006688,0.036893,0.017805,0.017805,0.0052923,0.011565,0.011565,0.026676,0.003452,0.003452
7.9428,7.1807e-05,8.1487e-05,0.02769,0.0040084,0.0040084,4,1.3828,-0.069826,0.17972,0.01788,0.0060214,0.0060214,0.037878,0.018255,0.018255,0.0062137,0.011329,0.011329,0.02769,0.0040084,0.0040084
7.9944,6.9169e-05,7.9111e-05,0.028691,0.003554,0.003554,4,1.9377,-0.066951,0.18257,0.017636,0.0061425,0.0061425,0.039197,0.017483,0.017483,0.0067272,0.01162,0.01162,0.028691,0.003554,0.003554
8.046,6.6513e-05,7.6684e-05,0.029116,0.0035905,0.0035905,4,2.3235,-0.067753,0.18419,0.017156,0.0058191,0.0058191,0.039578,0.017209,0.017209,0.0071596,0.011582,0.011582,0.029116,0.0035905,0.0035905
8.0975,6.3854e-05,7.4258e-05,0.029151,0.0036163,0.0036163,4,2.5926,-0.067686,0.18234,0.016484,0.0053082,0.0053082,0.03936,0.016647,0.016647,0.0076365,0.011243,0.011243,0.029151,0.0036163,0.0036163
8.1491,6.1212e-05,7.1801e-05,0.029457,0.0032243,0.0032243,4,2.9404,-0.068547,0.18299,0.01592,0.0052412,0.0052412,0.039669,0.015789,0.015789,0.0079665,0.011298,0.011298,0.029457,0.0032243,0.0032243
8.2007,5.8573e-05,6.933e-05,0.029562,0.0030201,0.0030201,4,3.2251,-0.067365,0.18261,0.015269,0.0049872,0.0049872,0.039721,0.015121,0.015121,0.0080905,0.011261,0.011261,0.029562,0.0030201,0.0030201
8.2523,5.6026e-05,6.6938e-05,0.029823,0.0028574,0.0028574,4,3.5479,-0.065808,0.18256,0.014742,0.0046623,0.0046623,0.039954,0.0145,0.0145,0.0083545,0.011111,0.011111,0.029823,0.0028574,0.0028574
8.3038,5.3546e-05,6.4569e-05,0.029989,0.0028186,0.0028186,4,3.8359,-0.065189,0.18129,0.014446,0.004385,0.004385,0.039852,0.014078,0.014078,0.0087574,0.011165,0.011165,0.029989,0.0028186,0.0028186
8.3554,5.116e-05,6.2284e-05,0.029511,0.0027452,0.0027452,4,3.9222,-0.064951,0.17908,0.013622,0.0040625,0.0040625,0.039103,0.013542,0.013542,0.0086032,0.011045,0.011045,0.029511,0.0027452,0.0027452
8.407,4.8879e-05,6.0063e-05,0.029755,0.002435,0.002435,4,4.2153,-0.065024,0.17891,0.013317,0.0039011,0.0039011,0.039338,0.012834,0.012834,0.0087828,0.011013,0.011013,0.029755,0.002435,0.002435
8.4586,4.6674e-05,5.7904e-05,0.029448,0.0024489,0.0024489,4,4.3346,-0.062643,0.17639,0.012785,0.003559,0.003559,0.038762,0.01246,0.01246,0.0088179,0.010804,0.010804,0.029448,0.0024489,0.0024489
8.5102,4.4557e-05,5.58e-05,0.029435,0.00237,0.00237,4,4.5338,-0.059324,0.17477,0.012447,0.0032869,0.0032869,0.03864,0.012055,0.012055,0.0088501,0.010684,0.010684,0.029435,0.00237,0.00237
8.5617,4.2538e-05,5.3766e-05,0.029193,0.0023787,0.0023787,4,4.6553,-0.059445,0.17322,0.012066,0.0030628,0.0030628,0.038168,0.01179,0.01179,0.0088949,0.010543,0.010543,0.029193,0.0023787,0.0023787
