Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
2.6304,0.00020603,0.00021796,0.033352,0.0081767,0.0081767,4,-9.869,-0.10535,0.24592,0.028168,0.0085661,0.0085661,0.047113,0.031628,0.031628,0.0040031,0.01441,0.01441,0.033352,0.0081767,0.0081767
2.682,0.00020506,0.00021688,0.033151,0.007486,0.007486,4,-9.8355,-0.10507,0.24398,0.02778,0.0090666,0.0090666,0.046942,0.030639,0.030639,0.004116,0.014412,0.014412,0.033151,0.007486,0.007486
2.7336,0.00020408,0.00021583,0.033018,0.0070286,0.0070286,4,-9.7815,-0.10321,0.24184,0.027487,0.0093473,0.0093473,0.046717,0.029939,0.029939,0.004465,0.014267,0.014267,0.033018,0.0070286,0.0070286
2.7852,0.0002031,0.00021478,0.03255,0.0065408,0.0065408,4,-9.8288,-0.099316,0.23866,0.026938,0.0096209,0.0096209,0.046003,0.029182,0.029182,0.0046496,0.014267,0.014267,0.03255,0.0065408,0.0065408
2.8367,0.00020216,0.00021376,0.031819,0.0059133,0.0059133,4,-9.9546,-0.099851,0.23677,0.025964,0.010021,0.010021,0.045211,0.028227,0.028227,0.0042719,0.014447,0.014447,0.031819,0.0059133,0.0059133
2.8883,0.00020119,0.00021273,0.031592,0.0053289,0.0053289,4,-9.9281,-0.099183,0.23525,0.025465,0.010423,0.010423,0.045004,0.027372,0.027372,0.0042976,0.014558,0.014558,0.031592,0.0053289,0.0053289
2.9399,0.00020022,0.00021171,0.031126,0.0048751,0.0048751,4,-9.9733,-0.1016,0.23308,0.024803,0.010628,0.010628,0.044382,0.026579,0.026579,0.0042871,0.014646,0.014646,0.031126,0.0048751,0.0048751
2.9915,0.00019922,0.00021063,0.030365,0.0045822,0.0045822,4,-10.105,-0.1017,0.2312,0.023892,0.01071,0.01071,0.043425,0.026008,0.026008,0.0038634,0.014886,0.014886,0.030365,0.0045822,0.0045822
3.043,0.00019823,0.00020959,0.029845,0.0041714,0.0041714,4,-10.166,-0.099144,0.22895,0.023142,0.010909,0.010909,0.042882,0.02529,0.02529,0.0035068,0.015073,0.015073,0.029845,0.0041714,0.0041714
3.0946,0.00019721,0.00020852,0.029167,0.003873,0.003873,4,-10.271,-0.10086,0.22643,0.022255,0.010914,0.010914,0.042085,0.024575,0.024575,0.0029404,0.01546,0.01546,0.029167,0.003873,0.003873
